,count,mean,std,min,p10,p25,p50,p75,p90,max
query_n_tokens,207.0,12.231884057971014,4.3948721030339595,4.0,8.0,9.0,11.0,15.0,18.0,33.0
query_n_words,207.0,11.83574879227053,4.207261094485444,4.0,7.600000000000001,9.0,11.0,14.0,17.0,32.0
query_n_numbers,207.0,0.3961352657004831,0.7019975251407168,0.0,0.0,0.0,0.0,1.0,1.0,3.0
query_alpha_ratio,207.0,0.9712453922764913,0.05047803070869981,0.8,0.8923976608187134,0.9393382352941176,1.0,1.0,1.0,1.0
query_num_ratio,207.0,0.028754607723508473,0.05047803070869981,0.0,0.0,0.0,0.0,0.06066176470588235,0.10760233918128657,0.2
query_ttr,207.0,0.9617524309080677,0.06098619494098141,0.6666666666666666,0.875,0.9285714285714286,1.0,1.0,1.0,1.0
query_avg_word_len,207.0,4.404864759901481,0.5833307814849743,2.8,3.6114285714285717,4.1,4.4,4.8,5.071428571428571,6.2
query_n_chars,207.0,65.7584541062802,23.974898149688396,19.0,41.0,50.0,62.0,78.0,96.0,185.0
query_n_chars_nows,207.0,54.869565217391305,19.83346664919195,15.0,34.6,42.0,52.0,65.0,80.0,154.0
query_n_sents,207.0,1.0193236714975846,0.13799369118141647,1.0,1.0,1.0,1.0,1.0,1.0,2.0
query_n_paras,207.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
query_entropy,207.0,4.000111244343671,0.16595862721665422,3.1555650133297184,3.813091910994014,3.9028786875837103,4.004247855285173,4.11277855958085,4.205988920930822,4.348245970462473
base_n_tokens,207.0,128173.46376811594,49699.120447740526,5583.0,78478.6,94065.0,117903.0,156429.5,197237.2,353848.0
base_n_words,207.0,114852.0966183575,45680.348893792194,4891.0,70684.0,83438.5,105571.0,140004.0,174130.2,326706.0
base_n_numbers,207.0,13321.367149758455,8897.346250508626,508.0,4878.6,6974.0,10282.0,17354.0,26424.2,41995.0
base_alpha_ratio,207.0,0.8965051574351796,0.060075077437937115,0.6354114355405696,0.8158656174342389,0.8779431343689863,0.9140622697886033,0.93614243888994,0.9511444538365542,0.9804071733997064
base_num_ratio,207.0,0.10349484256481985,0.0600750774379371,0.019592826600293572,0.0488555461634458,0.06385756111006002,0.08593773021139668,0.12205686563101376,0.18413438256576115,0.3645885644594304
base_ttr,207.0,0.08870064961504984,0.02880825392884644,0.03653448623575678,0.0633928860533457,0.07236463493463344,0.08431516436327069,0.09921643371452774,0.1128279342814377,0.25950279456766395
base_avg_word_len,207.0,4.9854942484337,0.18479619512737094,4.522545109211776,4.758747455476118,4.851290110112977,4.971854230213517,5.126110243761291,5.230021218198814,5.515198965665853
base_n_chars,207.0,769960.77294686,303301.0380957233,34539.0,462354.8,564986.0,701320.0,945969.0,1183949.4,2118247.0
base_n_chars_nows,207.0,641635.8115942029,252186.84611864702,28608.0,386847.2,470857.0,586820.0,793978.5,982354.4,1764254.0
base_n_sents,207.0,6009.169082125604,3129.293931561465,294.0,2763.0,3801.0,5312.0,7445.5,10178.800000000001,20940.0
base_n_paras,207.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_entropy,207.0,4.916631909656424,0.10813991558440773,4.625654504975843,4.776036976272412,4.85027964110153,4.9189999973648915,4.9939267428171075,5.052937103624543,5.160003226684574
overlap_jaccard,207.0,0.0012788792830036885,0.0011554344876106445,0.0003500420050406049,0.0006230279582219643,0.0008145373955174304,0.0010560519902518277,0.001497878514411643,0.0018909575383114613,0.011545862732520847
answer_n_tokens,207.0,8.434782608695652,11.950315746167306,1.0,1.0,1.0,3.0,13.0,24.0,102.0
answer_n_sents,207.0,1.0289855072463767,0.16817245766502822,1.0,1.0,1.0,1.0,1.0,1.0,2.0
answer_n_paras,207.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
