method,ColBERT,Deep Retrieval+FAISS,PPO,SAC,R-PPO,Gemini,Deep Retrieval+BM25,DDPG,FAISS,BM25,Search-R1 E5
ColBERT,1.0,1.0,1.0,1.0,1.0,0.5713032396855159,0.5499976158606702,1.0,0.21701598417218468,2.876909697925771e-05,3.42550344050604e-16
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00033569070084257075,4.0936069693371643e-16
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006668369233375769,2.3180588006462535e-14
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05967796529520052,4.089107661019233e-14
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025757896646265037,1.5351667618442432e-13
Gemini,0.5713032396855159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40904089342437533,2.79077551826001e-15
Deep Retrieval+BM25,0.5499976158606702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011071332331389187,6.2376573079316765e-12
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41792074896391207,4.8992300317521854e-11
FAISS,0.21701598417218468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.815731540071064e-10
BM25,2.876909697925771e-05,0.00033569070084257075,0.006668369233375769,0.05967796529520052,0.025757896646265037,0.40904089342437533,0.011071332331389187,0.41792074896391207,1.0,1.0,1.1461382866732045e-06
Search-R1 E5,3.42550344050604e-16,4.0936069693371643e-16,2.3180588006462535e-14,4.089107661019233e-14,1.5351667618442432e-13,2.79077551826001e-15,6.2376573079316765e-12,4.8992300317521854e-11,8.815731540071064e-10,1.1461382866732045e-06,1.0
