method,ColBERT,Deep Retrieval+FAISS,PPO,SAC,R-PPO,Gemini,Deep Retrieval+BM25,DDPG,FAISS,BM25,Search-R1 E5
ColBERT,1.0,0.9992863309209793,0.9811590854570397,0.8157087766397803,0.7159781780195814,0.48874336153588516,0.4537467452429399,0.3437238234313371,0.03927764868322092,3.314083184235983e-05,1.1102230246251565e-16
Deep Retrieval+FAISS,0.9992863309209793,1.0,0.9999989852345954,0.9977783300994224,0.9916426126264078,0.9461969912246779,0.9328463303663292,0.8726015271039221,0.31343687225161965,0.001500482420699778,1.1102230246251565e-16
PPO,0.9811590854570397,0.9999989852345954,1.0,0.9999868738480675,0.9998355487082912,0.99552181795319,0.9934325495477292,0.9802029222730427,0.5897398060196707,0.007532911138559806,1.1102230246251565e-16
SAC,0.8157087766397803,0.9977783300994224,0.9999868738480675,1.0,0.9999999998514386,0.9999939430054722,0.9999848005618577,0.999816885843707,0.8996874612236694,0.045803193263128095,1.1102230246251565e-16
R-PPO,0.7159781780195814,0.9916426126264078,0.9998355487082912,0.9999999998514386,1.0,0.9999998903153329,0.9999995561454309,0.9999848005618577,0.9501951023991381,0.07459770270991506,1.1102230246251565e-16
Gemini,0.48874336153588516,0.9461969912246779,0.99552181795319,0.9999939430054722,0.9999998903153329,1.0,0.9999999999999991,0.9999999979889618,0.9925812615090099,0.17229585823909654,2.7755575615628914e-15
Deep Retrieval+BM25,0.4537467452429399,0.9328463303663292,0.9934325495477292,0.9999848005618577,0.9999995561454309,0.9999999999999991,1.0,0.9999999998514386,0.9948970885995321,0.1932483247926502,4.3298697960381105e-15
DDPG,0.3437238234313371,0.8726015271039221,0.9802029222730427,0.999816885843707,0.9999848005618577,0.9999999979889618,0.9999999998514386,1.0,0.998810399860646,0.2754175371246492,1.7430501486614958e-14
FAISS,0.03927764868322092,0.31343687225161965,0.5897398060196707,0.8996874612236694,0.9501951023991381,0.9925812615090099,0.9948970885995321,0.998810399860646,1.0,0.841531955137209,1.5109025142123755e-11
BM25,3.314083184235983e-05,0.001500482420699778,0.007532911138559806,0.045803193263128095,0.07459770270991506,0.17229585823909654,0.1932483247926502,0.2754175371246492,0.841531955137209,1.0,1.060492068383212e-06
Search-R1 E5,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.7755575615628914e-15,4.3298697960381105e-15,1.7430501486614958e-14,1.5109025142123755e-11,1.060492068383212e-06,1.0
