method,ColBERT,Deep Retrieval+FAISS,PPO,SAC,R-PPO,Gemini,Deep Retrieval+BM25,DDPG,FAISS,BM25,Search-R1 E5
ColBERT,1.0,0.39847724014858543,0.5081901907179889,0.17761310880809325,0.4001132067384713,0.0044226312020209995,0.04103698035041217,0.08280226700281061,0.01196772683835696,6.932931648394723e-07,1.4797597730423205e-20
Deep Retrieval+FAISS,0.39847724014858543,1.0,0.9784441844165623,0.4955567391479111,0.8835624680577927,0.030403497285849894,0.20735187032221786,0.2538124074277781,0.05011419771022676,2.004967659552835e-05,7.356938973964222e-21
PPO,0.5081901907179889,0.9784441844165623,1.0,0.28373835821466264,0.7884391453259996,0.022889862625113874,0.3044477293369503,0.095770649496188,0.01569904116023303,5.393914135915028e-05,3.536044059461785e-17
SAC,0.17761310880809325,0.4955567391479111,0.28373835821466264,1.0,0.47200319788039746,0.1317707383647206,0.7267988381514237,0.4962655543505271,0.1687205209117136,0.0006324164663195209,2.7767462620453e-17
R-PPO,0.4001132067384713,0.8835624680577927,0.7884391453259996,0.47200319788039746,1.0,0.0329503196775548,0.41896380936756483,0.15642260867555816,0.04145209967477189,0.0001475292593921557,3.111126173738254e-16
Gemini,0.0044226312020209995,0.030403497285849894,0.022889862625113874,0.1317707383647206,0.0329503196775548,1.0,0.32194174909874135,0.32877510727558257,0.9730359408534209,0.018723638522571997,2.764189548154396e-19
Deep Retrieval+BM25,0.04103698035041217,0.20735187032221786,0.3044477293369503,0.7267988381514237,0.41896380936756483,0.32194174909874135,1.0,0.9017400782050882,0.34483786972842934,0.0006113612581861638,5.0926003520272565e-15
DDPG,0.08280226700281061,0.2538124074277781,0.095770649496188,0.4962655543505271,0.15642260867555816,0.32877510727558257,0.9017400782050882,1.0,0.34602816250782054,0.0042278070557367885,1.2239282237784317e-13
FAISS,0.01196772683835696,0.05011419771022676,0.01569904116023303,0.1687205209117136,0.04145209967477189,0.9730359408534209,0.34483786972842934,0.34602816250782054,1.0,0.02396695085733119,4.007913610538658e-12
BM25,6.932931648394723e-07,2.004967659552835e-05,5.393914135915028e-05,0.0006324164663195209,0.0001475292593921557,0.018723638522571997,0.0006113612581861638,0.0042278070557367885,0.02396695085733119,1.0,2.4675277046947198e-08
Search-R1 E5,1.4797597730423205e-20,7.356938973964222e-21,3.536044059461785e-17,2.7767462620453e-17,3.111126173738254e-16,2.764189548154396e-19,5.0926003520272565e-15,1.2239282237784317e-13,4.007913610538658e-12,2.4675277046947198e-08,1.0
