method_a,method_b,mean_a,mean_b,t_stat,p_value,significant_p05
ColBERT,Deep Retrieval+FAISS,0.8965775850256519,0.891829481844366,0.8465014414247349,0.39847724014858543,False
ColBERT,PPO,0.8965775850256519,0.8919998481428835,0.6630767101603409,0.5081901907179889,False
ColBERT,SAC,0.8965775850256519,0.8875163715971998,1.3538173546963084,0.17761310880809325,False
ColBERT,R-PPO,0.8965775850256519,0.8908805557962,0.8435628889138406,0.4001132067384713,False
ColBERT,Gemini,0.8965775850256519,0.8791841508368768,2.885369730593755,0.0044226312020209995,True
ColBERT,Deep Retrieval+BM25,0.8965775850256519,0.8853446566141568,2.0590077574015897,0.04103698035041217,True
ColBERT,DDPG,0.8965775850256519,0.8845431166287709,1.7450637126856365,0.08280226700281061,False
ColBERT,FAISS,0.8965775850256519,0.8793808324097176,2.540736717770469,0.01196772683835696,True
ColBERT,BM25,0.8965775850256519,0.8656487383786038,5.159000239681581,6.932931648394723e-07,True
ColBERT,Search-R1 E5,0.8965775850256519,0.8394718663932303,10.647095172668699,1.4797597730423205e-20,True
Deep Retrieval+FAISS,PPO,0.891829481844366,0.8919998481428835,-0.027059762410025903,0.9784441844165623,False
Deep Retrieval+FAISS,SAC,0.891829481844366,0.8875163715971998,0.6829855441165784,0.4955567391479111,False
Deep Retrieval+FAISS,R-PPO,0.891829481844366,0.8908805557962,0.1466774678284112,0.8835624680577927,False
Deep Retrieval+FAISS,Gemini,0.891829481844366,0.8791841508368768,2.1832626090582714,0.030403497285849894,True
Deep Retrieval+FAISS,Deep Retrieval+BM25,0.891829481844366,0.8853446566141568,1.265759065987993,0.20735187032221786,False
Deep Retrieval+FAISS,DDPG,0.891829481844366,0.8845431166287709,1.145061272098123,0.2538124074277781,False
Deep Retrieval+FAISS,FAISS,0.891829481844366,0.8793808324097176,1.9731907748430415,0.05011419771022676,False
Deep Retrieval+FAISS,BM25,0.891829481844366,0.8656487383786038,4.389200419538843,2.004967659552835e-05,True
Deep Retrieval+FAISS,Search-R1 E5,0.891829481844366,0.8394718663932303,10.755986949342015,7.356938973964222e-21,True
PPO,SAC,0.8919998481428835,0.8875163715971998,1.0753984828514247,0.28373835821466264,False
PPO,R-PPO,0.8919998481428835,0.8908805557962,0.2687664941762861,0.7884391453259996,False
PPO,Gemini,0.8919998481428835,0.8791841508368768,2.296367424967163,0.022889862625113874,True
PPO,Deep Retrieval+BM25,0.8919998481428835,0.8853446566141568,1.0300915841720784,0.3044477293369503,False
PPO,DDPG,0.8919998481428835,0.8845431166287709,1.6751219766316874,0.095770649496188,False
PPO,FAISS,0.8919998481428835,0.8793808324097176,2.440654013926409,0.01569904116023303,True
PPO,BM25,0.8919998481428835,0.8656487383786038,4.144260763227955,5.393914135915028e-05,True
PPO,Search-R1 E5,0.8919998481428835,0.8394718663932303,9.418203348256144,3.536044059461785e-17,True
SAC,R-PPO,0.8875163715971998,0.8908805557962,-0.7208507942800634,0.47200319788039746,False
SAC,Gemini,0.8875163715971998,0.8791841508368768,1.5145294536303477,0.1317707383647206,False
SAC,Deep Retrieval+BM25,0.8875163715971998,0.8853446566141568,0.34997097235686564,0.7267988381514237,False
SAC,DDPG,0.8875163715971998,0.8845431166287709,0.6818613888395271,0.4962655543505271,False
