method,SAC,PPO,R-PPO,ColBERT,DDPG,Deep Retrieval+FAISS,Deep Retrieval+BM25,FAISS,Gemini,BM25,Search-R1 E5
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05031852412386807,0.0008884444640571354,9.842298403884797e-05
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0483749122967411,0.002422252203653279,9.736346480037237e-05
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13854501807721703,0.00044112713092704506,8.370322831369025e-05
ColBERT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015306111584755106,0.001677063658495193
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37471423506955476,0.02386867347491082,0.002232327872893459
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00559734419218732,0.0001003487007242049
Deep Retrieval+BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001375050299939399,0.0024401516091171814
FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8545647524061645,0.13577116461361127,0.016555930793973668
Gemini,0.05031852412386807,0.0483749122967411,0.13854501807721703,1.0,0.37471423506955476,1.0,1.0,0.8545647524061645,1.0,1.0,0.6928579357273934
BM25,0.0008884444640571354,0.002422252203653279,0.00044112713092704506,0.0015306111584755106,0.02386867347491082,0.00559734419218732,0.001375050299939399,0.13577116461361127,1.0,1.0,1.0
Search-R1 E5,9.842298403884797e-05,9.736346480037237e-05,8.370322831369025e-05,0.001677063658495193,0.002232327872893459,0.0001003487007242049,0.0024401516091171814,0.016555930793973668,0.6928579357273934,1.0,1.0
