method,SAC,PPO,R-PPO,ColBERT,DDPG,Deep Retrieval+FAISS,Deep Retrieval+BM25,FAISS,Gemini,BM25,Search-R1 E5
SAC,1.0,0.9999999999957465,0.999999994071607,0.9999886933900818,0.9995480698444291,0.9989923911189583,0.9963397329114086,0.994897088599532,0.6368598475563261,0.01085639052441223,0.0023451655101177638
PPO,0.9999999999957465,1.0,0.9999999999915367,0.9999989852345954,0.9998946906633701,0.9997226265590922,0.9987094152041234,0.9980887366108988,0.71597817801958,0.016374972947213795,0.0037378079690782995
R-PPO,0.999999994071607,0.9999999999915367,1.0,0.9999999715078106,0.9999848005618577,0.9999487396372033,0.999661480180128,0.9994554997069695,0.7926331120706859,0.024959509732439433,0.006053134817885275
ColBERT,0.9999886933900818,0.9999989852345954,0.9999999715078106,1.0,0.9999999885412784,0.999999859446065,0.9999956442656025,0.9999902864394365,0.9201022537874622,0.06018089606278443,0.01685195771884751
DDPG,0.9995480698444291,0.9998946906633701,0.9999848005618577,0.9999999885412784,1.0,0.9999999999999484,0.9999999979889618,0.9999999885412784,0.9771078635407053,0.12192756278537842,0.03927764868322048
Deep Retrieval+FAISS,0.9989923911189583,0.9997226265590922,0.9999487396372033,0.999999859446065,0.9999999999999484,1.0,0.9999999999705368,0.999999999616809,0.9854136585095764,0.1469733094313348,0.04939961406958249
Deep Retrieval+BM25,0.9963397329114086,0.9987094152041234,0.999661480180128,0.9999956442656025,0.9999999979889618,0.9999999999705368,1.0,0.9999999999999999,0.9945588885079623,0.2043650137932117,0.07459770270991439
FAISS,0.994897088599532,0.9980887366108988,0.9994554997069695,0.9999902864394365,0.9999999885412784,0.999999999616809,0.9999999999999999,1.0,0.9960821216825375,0.22384623421760175,0.08376441457132766
Gemini,0.6368598475563261,0.71597817801958,0.7926331120706859,0.9201022537874622,0.9771078635407053,0.9854136585095764,0.9945588885079623,0.9960821216825375,1.0,0.857557877932443,0.6134084277902321
BM25,0.01085639052441223,0.016374972947213795,0.024959509732439433,0.06018089606278443,0.12192756278537842,0.1469733094313348,0.2043650137932117,0.22384623421760175,0.857557877932443,1.0,0.9999991690427343
Search-R1 E5,0.0023451655101177638,0.0037378079690782995,0.006053134817885275,0.01685195771884751,0.03927764868322048,0.04939961406958249,0.07459770270991439,0.08376441457132766,0.6134084277902321,0.9999991690427343,1.0
