method,SAC,PPO,R-PPO,Deep Retrieval+FAISS,DDPG,ColBERT,FAISS,Gemini,Deep Retrieval+BM25,Search-R1 E5,BM25
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06492408933371699,0.0006198862949738398
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029302985161346346,0.00028177427254007974
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07832671635379693,0.001312547243769891
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09839337625117892,0.00044903242036690907
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23278785364669027,0.002930686222129031
ColBERT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001857301653404184
FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33434575811553585
Gemini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009469000485190195,0.0017320937575977734
Deep Retrieval+BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07964183058074291
Search-R1 E5,0.06492408933371699,0.029302985161346346,0.07832671635379693,0.09839337625117892,0.23278785364669027,1.0,1.0,0.009469000485190195,1.0,1.0,1.0
BM25,0.0006198862949738398,0.00028177427254007974,0.001312547243769891,0.00044903242036690907,0.002930686222129031,0.0001857301653404184,0.33434575811553585,0.0017320937575977734,0.07964183058074291,1.0,1.0
