method,SAC,PPO,R-PPO,Deep Retrieval+FAISS,DDPG,ColBERT,FAISS,Gemini,Deep Retrieval+BM25,Search-R1 E5,BM25
SAC,1.0,0.9999999843247348,0.9995036354136633,0.999347115281402,0.992123244177169,0.9655764110459194,0.9375272883917212,0.8456293052369024,0.2574816739837156,0.00010467431720384557,3.919049633660521e-05
PPO,0.9999999843247348,1.0,0.9999886933900818,0.999982443610505,0.9992207733742817,0.9934325495477291,0.9846299427182003,0.9441146737660285,0.4195023785369635,0.00036388173870571805,0.00014392010430985813
R-PPO,0.9995036354136633,0.9999886933900818,1.0,1.0,0.9999999345572751,0.999982443610505,0.9998819909093096,0.9982297169182662,0.7781492537891994,0.0033869051109035597,0.001500482420699778
Deep Retrieval+FAISS,0.999347115281402,0.999982443610505,1.0,1.0,0.9999999715078106,0.9999886933900818,0.9999165631372394,0.9986012624356156,0.7926331120706873,0.0037378079690782995,0.0016652925080653525
DDPG,0.992123244177169,0.9992207733742817,0.9999999345572751,0.9999999715078106,1.0,0.999999994071607,0.9999996434009976,0.9999548328395662,0.9201022537874631,0.01085639052441223,0.005164997066231636
ColBERT,0.9655764110459194,0.9934325495477291,0.999982443610505,0.9999886933900818,0.999999994071607,1.0,0.9999999999915367,0.9999996434009976,0.9748467649478814,0.024959509732439433,0.01259703038792881
FAISS,0.9375272883917212,0.9846299427182003,0.9998819909093096,0.9999165631372394,0.9999996434009976,0.9999999999915367,1.0,0.999999994071607,0.9882389584155508,0.03728838314838567,0.019428191262124583
Gemini,0.8456293052369024,0.9441146737660285,0.9982297169182662,0.9986012624356156,0.9999548328395662,0.9999996434009976,0.999999994071607,1.0,0.9982297169182662,0.07636203791072371,0.04243285861797774
Deep Retrieval+BM25,0.2574816739837156,0.4195023785369635,0.7781492537891994,0.7926331120706873,0.9201022537874631,0.9748467649478814,0.9882389584155508,0.9982297169182662,1.0,0.524244620327447,0.38623311392822046
Search-R1 E5,0.00010467431720384557,0.00036388173870571805,0.0033869051109035597,0.0037378079690782995,0.01085639052441223,0.024959509732439433,0.03728838314838567,0.07636203791072371,0.524244620327447,1.0,0.9999999990907832
BM25,3.919049633660521e-05,0.00014392010430985813,0.001500482420699778,0.0016652925080653525,0.005164997066231636,0.01259703038792881,0.019428191262124583,0.04243285861797774,0.38623311392822046,0.9999999990907832,1.0
