method,ColBERT,Deep Retrieval+FAISS,SAC,R-PPO,DDPG,PPO,Deep Retrieval+BM25,Gemini,FAISS,Search-R1 E5,BM25
ColBERT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33449891601160203,0.03603798147388719,5.318218819731589e-05
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09539387332066114,0.0006380608016613945
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7220812124759344,0.4493638889065355,0.0013492437274821353
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45360867977949254,0.0019761124182840904
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00818849435683601
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3796834055076233,1.0,0.004066747799085275
Deep Retrieval+BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001208332504606639
Gemini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5882530831858362,0.05782652240006103
FAISS,0.33449891601160203,1.0,0.7220812124759344,1.0,1.0,0.3796834055076233,1.0,1.0,1.0,1.0,1.0
Search-R1 E5,0.03603798147388719,0.09539387332066114,0.4493638889065355,0.45360867977949254,1.0,1.0,1.0,0.5882530831858362,1.0,1.0,1.0
BM25,5.318218819731589e-05,0.0006380608016613945,0.0013492437274821353,0.0019761124182840904,0.00818849435683601,0.004066747799085275,0.001208332504606639,0.05782652240006103,1.0,1.0,1.0
