method,ColBERT,Deep Retrieval+FAISS,SAC,R-PPO,DDPG,PPO,Deep Retrieval+BM25,Gemini,FAISS,Search-R1 E5,BM25
ColBERT,1.0,0.9991501423749614,0.9977783300994223,0.9854136585095764,0.9802029222730424,0.9736542359341965,0.964068372108845,0.8866469621318351,0.24028716835523167,0.16568792006346234,0.00268348484191272
Deep Retrieval+FAISS,0.9991501423749614,1.0,0.9999999999990864,0.9999997735076427,0.9999991690427343,0.9999974076089128,0.999991677766947,0.9995890402542031,0.7878567209251919,0.6827618987967476,0.05192834070552277
SAC,0.9977783300994223,0.9999999999990864,1.0,0.9999999917114399,0.9999999500015483,0.9999997735076427,0.9999989852345954,0.9998819909093096,0.841531955137209,0.747855929977418,0.0695048432919676
R-PPO,0.9854136585095764,0.9999997735076427,0.9999999917114399,1.0,0.9999999999999991,0.9999999999990864,0.9999999999108211,0.9999985057731351,0.9375272883917212,0.8797496566858458,0.13540278253842086
DDPG,0.9802029222730424,0.9999991690427343,0.9999999500015483,0.9999999999999991,1.0,0.9999999999999991,0.9999999999979692,0.9999995561454309,0.9501951023991375,0.8996874612236694,0.1530283501966483
PPO,0.9736542359341965,0.9999974076089128,0.9999997735076427,0.9999999999990864,0.9999999999999991,1.0,0.9999999999999958,0.9999998903153329,0.9609062153706388,0.9173715185984082,0.17229585823909654
Deep Retrieval+BM25,0.964068372108845,0.999991677766947,0.9999989852345954,0.9999999999108211,0.9999999999979692,0.9999999999999958,1.0,0.9999999843247348,0.9711408252181553,0.9352161033672969,0.19690626419680102
Gemini,0.8866469621318351,0.9995890402542031,0.9998819909093096,0.9999985057731351,0.9999995561454309,0.9999998903153329,0.9999999843247348,1.0,0.994897088599532,0.9838135149591819,0.33857615737479585
FAISS,0.24028716835523167,0.7878567209251919,0.841531955137209,0.9375272883917212,0.9501951023991375,0.9609062153706388,0.9711408252181553,0.994897088599532,1.0,0.9999999998514386,0.9441146737660291
Search-R1 E5,0.16568792006346234,0.6827618987967476,0.747855929977418,0.8797496566858458,0.8996874612236694,0.9173715185984082,0.9352161033672969,0.9838135149591819,0.9999999998514386,1.0,0.9759976795679725
BM25,0.00268348484191272,0.05192834070552277,0.0695048432919676,0.13540278253842086,0.1530283501966483,0.17229585823909654,0.19690626419680102,0.33857615737479585,0.9441146737660291,0.9759976795679725,1.0
