method,FAISS,SAC,PPO,R-PPO,DDPG,ColBERT,BM25,Deep Retrieval+FAISS,Deep Retrieval+BM25,Search-R1 E5
FAISS,1.0,1.0,1.0,1.0,1.0,4.6074822181984177e-05,1.0530060505028902e-14,2.279325032080063e-25,2.279216698629647e-25,7.585102867193678e-27
SAC,1.0,1.0,1.0,1.0,1.0,4.6074822181984177e-05,1.0530060505028902e-14,2.279325032080063e-25,2.279216698629647e-25,7.585102867193678e-27
PPO,1.0,1.0,1.0,1.0,1.0,5.7278365832318035e-05,3.4559043106156907e-14,1.5922639414089025e-25,2.279216698629647e-25,7.585102867193678e-27
R-PPO,1.0,1.0,1.0,1.0,1.0,9.417902168636271e-05,1.2412806976353876e-13,2.279325032080063e-25,2.279216698629647e-25,7.585102867193678e-27
DDPG,1.0,1.0,1.0,1.0,1.0,0.00020079768703448967,8.693451048854947e-14,3.958410559073798e-25,3.5251355373516597e-25,7.585102867193678e-27
ColBERT,4.6074822181984177e-05,4.6074822181984177e-05,5.7278365832318035e-05,9.417902168636271e-05,0.00020079768703448967,1.0,0.21646505762885074,4.880168914030059e-20,6.280144603042242e-21,2.2251069895070287e-22
BM25,1.0530060505028902e-14,1.0530060505028902e-14,3.4559043106156907e-14,1.2412806976353876e-13,8.693451048854947e-14,0.21646505762885074,1.0,8.515599870401478e-20,4.0148975440239493e-20,1.0427089260910475e-21
Deep Retrieval+FAISS,2.279325032080063e-25,2.279325032080063e-25,1.5922639414089025e-25,2.279325032080063e-25,3.958410559073798e-25,4.880168914030059e-20,8.515599870401478e-20,1.0,1.0,1.0
Deep Retrieval+BM25,2.279216698629647e-25,2.279216698629647e-25,2.279216698629647e-25,2.279216698629647e-25,3.5251355373516597e-25,6.280144603042242e-21,4.0148975440239493e-20,1.0,1.0,1.0
Search-R1 E5,7.585102867193678e-27,7.585102867193678e-27,7.585102867193678e-27,7.585102867193678e-27,7.585102867193678e-27,2.2251069895070287e-22,1.0427089260910475e-21,1.0,1.0,1.0
