method,FAISS,SAC,PPO,R-PPO,DDPG,ColBERT,BM25,Deep Retrieval+FAISS,Deep Retrieval+BM25,Search-R1 E5
FAISS,1.0,1.0,0.9999999999989039,0.9999999999140818,0.9999999904473631,0.18556059328751395,3.9911356664035225e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
SAC,1.0,1.0,0.9999999999989039,0.9999999999140818,0.9999999904473631,0.18556059328751395,3.9911356664035225e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
PPO,0.9999999999989039,0.9999999999989039,1.0,0.999999999999984,0.999999999832943,0.21851598727726718,6.30188653483188e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
R-PPO,0.9999999999140818,0.9999999999140818,0.999999999999984,1.0,0.9999999999968402,0.2409852635100398,8.361572156889707e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
DDPG,0.9999999904473631,0.9999999904473631,0.999999999832943,0.9999999999968402,1.0,0.2849932825692483,1.3838716828029618e-07,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
ColBERT,0.18556059328751395,0.18556059328751395,0.21851598727726718,0.2409852635100398,0.2849932825692483,1.0,0.019463805829263325,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
BM25,3.9911356664035225e-08,3.9911356664035225e-08,6.30188653483188e-08,8.361572156889707e-08,1.3838716828029618e-07,0.019463805829263325,1.0,6.661338147750939e-15,2.3314683517128287e-15,1.1102230246251565e-16
Deep Retrieval+FAISS,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-15,1.0,0.999999999832943,0.704540873517975
Deep Retrieval+BM25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.3314683517128287e-15,0.999999999832943,1.0,0.7846299540303798
Search-R1 E5,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.704540873517975,0.7846299540303798,1.0
