method,FAISS,SAC,PPO,R-PPO,DDPG,ColBERT,BM25,Deep Retrieval+FAISS,Deep Retrieval+BM25,Search-R1 E5
FAISS,1.0,1.0,0.31880184693281727,0.16621825496740797,0.09702754948043087,3.2927832084309175e-06,1.2120608876894237e-06,1.4613870965973517e-37,1.2676315450172166e-39,3.4612325386436305e-46
SAC,1.0,1.0,0.31880184693281727,0.16621825496740797,0.09702754948043087,3.2927832084309175e-06,1.2120608876894237e-06,1.4613870965973517e-37,1.2676315450172166e-39,3.4612325386436305e-46
PPO,0.31880184693281727,0.31880184693281727,1.0,0.16621869252723653,0.09702777712075422,3.292787763298106e-06,1.2120627397338114e-06,1.4613907726295872e-37,1.267634721826095e-39,3.4612413654480514e-46
R-PPO,0.16621825496740797,0.16621825496740797,0.16621869252723653,1.0,0.5582242061688147,6.236212076903312e-06,3.517843132595853e-06,1.787013354461711e-37,3.7659472289542495e-39,2.687906326166094e-46
DDPG,0.09702754948043087,0.09702754948043087,0.09702777712075422,0.5582242061688147,1.0,1.2660342210709613e-05,3.7610225346775945e-06,1.2598143664564648e-36,5.63250757694156e-39,6.411778979969015e-46
ColBERT,3.2927832084309175e-06,3.2927832084309175e-06,3.292787763298106e-06,6.236212076903312e-06,1.2660342210709613e-05,1.0,0.9653101987526896,5.952649333812307e-27,1.9529621951287452e-28,1.2786360843140433e-33
BM25,1.2120608876894237e-06,1.2120608876894237e-06,1.2120627397338114e-06,3.517843132595853e-06,3.7610225346775945e-06,0.9653101987526896,1.0,2.377789590594437e-25,1.1266495099061223e-26,1.8053010995397046e-32
Deep Retrieval+FAISS,1.4613870965973517e-37,1.4613870965973517e-37,1.4613907726295872e-37,1.787013354461711e-37,1.2598143664564648e-36,5.952649333812307e-27,2.377789590594437e-25,1.0,0.6448014583319092,0.025150878935555773
Deep Retrieval+BM25,1.2676315450172166e-39,1.2676315450172166e-39,1.267634721826095e-39,3.7659472289542495e-39,5.63250757694156e-39,1.9529621951287452e-28,1.1266495099061223e-26,0.6448014583319092,1.0,0.03715650858007841
Search-R1 E5,3.4612325386436305e-46,3.4612325386436305e-46,3.4612413654480514e-46,2.687906326166094e-46,6.411778979969015e-46,1.2786360843140433e-33,1.8053010995397046e-32,0.025150878935555773,0.03715650858007841,1.0
