method,FAISS,SAC,PPO,R-PPO,DDPG,ColBERT,BM25,Deep Retrieval+FAISS,Deep Retrieval+BM25,Search-R1 E5
FAISS,0.0,0.0,0.9999999999999998,1.3907183112346795,1.6691070801844772,4.819244790931747,5.043829654294906,16.89086718058948,17.66946768696584,20.2285074032777
SAC,-0.0,0.0,0.9999999999999998,1.3907183112346795,1.6691070801844772,4.819244790931747,5.043829654294906,16.89086718058948,17.66946768696584,20.2285074032777
PPO,-0.9999999999999998,-0.9999999999999998,0.0,1.3907168663242697,1.6691059333700782,4.819244475233214,5.043829316055601,16.890866770804784,17.669467273093602,20.22850695983901
R-PPO,-1.3907183112346795,-1.3907183112346795,-1.3907168663242697,0.0,0.5866965391818695,4.6719538928975455,4.804139759884296,16.85810563898998,17.489941423091842,20.27249720551376
DDPG,-1.6691070801844772,-1.6691070801844772,-1.6691059333700782,-0.5866965391818695,0.0,4.50481352055643,4.788835568651563,16.54094653869352,17.423716038834907,20.121429297154748
ColBERT,-4.819244790931747,-4.819244790931747,-4.819244475233214,-4.6719538928975455,-4.50481352055643,0.0,-0.043558219143971746,13.010765348694031,13.54525830836202,15.428929345445088
BM25,-5.043829654294906,-5.043829654294906,-5.043829316055601,-4.804139759884296,-4.788835568651563,0.043558219143971746,0.0,12.434756161183616,12.911076693254266,15.008021468764094
Deep Retrieval+FAISS,-16.89086718058948,-16.89086718058948,-16.890866770804784,-16.85810563898998,-16.54094653869352,-13.010765348694031,-12.434756161183616,0.0,0.4618598338885208,2.260043079663726
Deep Retrieval+BM25,-17.66946768696584,-17.66946768696584,-17.669467273093602,-17.489941423091842,-17.423716038834907,-13.54525830836202,-12.911076693254266,-0.4618598338885208,0.0,2.101363459908832
Search-R1 E5,-20.2285074032777,-20.2285074032777,-20.22850695983901,-20.27249720551376,-20.121429297154748,-15.428929345445088,-15.008021468764094,-2.260043079663726,-2.101363459908832,0.0
