method,DDPG,FAISS,R-PPO,SAC,Deep Retrieval+BM25,PPO,Deep Retrieval+FAISS,ColBERT,BM25,Search-R1 E5
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.976493073627353e-05
FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.976493073627353e-05
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.976493073627353e-05
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.976493073627353e-05
Deep Retrieval+BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01715202969206669
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.976493073627353e-05
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5215958718062187
ColBERT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00013057171599939466
BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00011625699698925018
Search-R1 E5,4.976493073627353e-05,4.976493073627353e-05,4.976493073627353e-05,4.976493073627353e-05,0.01715202969206669,4.976493073627353e-05,0.5215958718062187,0.00013057171599939466,0.00011625699698925018,1.0
