method,DDPG,FAISS,R-PPO,SAC,Deep Retrieval+BM25,PPO,Deep Retrieval+FAISS,ColBERT,BM25,Search-R1 E5
DDPG,1.0,0.9999999999978285,0.9999999999978285,0.9999999999978285,0.9999999989067124,0.9999991069980725,0.9989695641756334,0.9989695641756334,0.6726571246682809,3.8981790428160856e-05
FAISS,0.9999999999978285,1.0,1.0,1.0,0.9999999999978285,0.9999999167332674,0.9995698853358392,0.9995698853358392,0.725262116132168,5.793885154337097e-05
R-PPO,0.9999999999978285,1.0,1.0,1.0,0.9999999999978285,0.9999999167332674,0.9995698853358392,0.9995698853358392,0.725262116132168,5.793885154337097e-05
SAC,0.9999999999978285,1.0,1.0,1.0,0.9999999999978285,0.9999999167332674,0.9995698853358392,0.9995698853358392,0.725262116132168,5.793885154337097e-05
Deep Retrieval+BM25,0.9999999989067124,0.9999999999978285,0.9999999999978285,0.9999999999978285,1.0,0.9999999968629388,0.9998421179927973,0.9998421179927973,0.7743506222867389,8.555734136495019e-05
PPO,0.9999991069980725,0.9999999167332674,0.9999999167332674,0.9999999167332674,0.9999999968629388,1.0,0.9999915041214177,0.9999915041214177,0.8676102757423927,0.00020078711785320724
Deep Retrieval+FAISS,0.9989695641756334,0.9995698853358392,0.9995698853358392,0.9995698853358392,0.9998421179927973,0.9999915041214177,1.0,1.0,0.982268814530121,0.001399858576928592
ColBERT,0.9989695641756334,0.9995698853358392,0.9995698853358392,0.9995698853358392,0.9998421179927973,0.9999915041214177,1.0,1.0,0.982268814530121,0.001399858576928592
BM25,0.6726571246682809,0.725262116132168,0.725262116132168,0.725262116132168,0.7743506222867389,0.8676102757423927,0.982268814530121,0.982268814530121,1.0,0.07600388658027957
Search-R1 E5,3.8981790428160856e-05,5.793885154337097e-05,5.793885154337097e-05,5.793885154337097e-05,8.555734136495019e-05,0.00020078711785320724,0.001399858576928592,0.001399858576928592,0.07600388658027957,1.0
