method,DDPG,FAISS,R-PPO,SAC,Deep Retrieval+BM25,PPO,Deep Retrieval+FAISS,ColBERT,BM25,Search-R1 E5
DDPG,1.0,0.3243747105262055,0.3243747105262055,0.3243747105262055,0.096278917032509,0.27777055104831166,0.028447823567063248,0.20808674332524368,0.0846019983330992,1.3905335048407578e-06
FAISS,0.3243747105262055,1.0,1.0,1.0,0.09650318137428528,0.34122814442499283,0.02851810656454819,0.21001732085059044,0.08564930682744892,1.392624373520356e-06
R-PPO,0.3243747105262055,1.0,1.0,1.0,0.09650318137428528,0.34122814442499283,0.02851810656454819,0.21001732085059044,0.08564930682744892,1.392624373520356e-06
SAC,0.3243747105262055,1.0,1.0,1.0,0.09650318137428528,0.34122814442499283,0.02851810656454819,0.21001732085059044,0.08564930682744892,1.392624373520356e-06
Deep Retrieval+BM25,0.096278917032509,0.09650318137428528,0.09650318137428528,0.09650318137428528,1.0,0.09708326206710131,0.4228158984802164,0.15588649755514125,0.17547952907954945,0.0003573864272482273
PPO,0.27777055104831166,0.34122814442499283,0.34122814442499283,0.34122814442499283,0.09708326206710131,1.0,0.028665007008333757,0.22736160346665013,0.09529833861835472,1.3879208401451942e-06
Deep Retrieval+FAISS,0.028447823567063248,0.02851810656454819,0.02851810656454819,0.02851810656454819,0.4228158984802164,0.028665007008333757,1.0,0.04327994956526859,0.05007283837081933,0.01646981345258713
ColBERT,0.20808674332524368,0.21001732085059044,0.21001732085059044,0.21001732085059044,0.15588649755514125,0.22736160346665013,0.04327994956526859,1.0,0.20529374642930429,9.368355390277783e-07
BM25,0.0846019983330992,0.08564930682744892,0.08564930682744892,0.08564930682744892,0.17547952907954945,0.09529833861835472,0.05007283837081933,0.20529374642930429,1.0,1.170063536032936e-06
Search-R1 E5,1.3905335048407578e-06,1.392624373520356e-06,1.392624373520356e-06,1.392624373520356e-06,0.0003573864272482273,1.3879208401451942e-06,0.01646981345258713,9.368355390277783e-07,1.170063536032936e-06,1.0
