method_a,method_b,mean_a,mean_b,t_stat,p_value,significant_p05
DDPG,FAISS,0.8205186418820758,0.820468325099504,1.0000000000000002,0.3243747105262055,False
DDPG,R-PPO,0.8205186418820758,0.820468325099504,1.0000000000000002,0.3243747105262055,False
DDPG,SAC,0.8205186418820758,0.820468325099504,1.0000000000000002,0.3243747105262055,False
DDPG,Deep Retrieval+BM25,0.8205186418820758,0.7318973152912119,1.7105325746454552,0.096278917032509,False
DDPG,PPO,0.8205186418820758,0.8200356876656398,1.1030065108761213,0.27777055104831166,False
DDPG,Deep Retrieval+FAISS,0.8205186418820758,0.6786192243354947,2.288483580566222,0.028447823567063248,True
DDPG,ColBERT,0.8205186418820758,0.8081420272298836,1.2832383135592085,0.20808674332524368,False
DDPG,BM25,0.8205186418820758,0.8045960894291001,1.7764887885694853,0.0846019983330992,False
DDPG,Search-R1 E5,0.8205186418820758,0.49517132711917144,5.839777242515043,1.3905335048407578e-06,True
FAISS,R-PPO,0.820468325099504,0.820468325099504,0.0,1.0,False
FAISS,SAC,0.820468325099504,0.820468325099504,0.0,1.0,False
FAISS,Deep Retrieval+BM25,0.820468325099504,0.7318973152912119,1.7093330526139079,0.09650318137428528,False
FAISS,PPO,0.820468325099504,0.8200356876656398,0.9652648127755332,0.34122814442499283,False
FAISS,Deep Retrieval+FAISS,0.820468325099504,0.6786192243354947,2.287396036739826,0.02851810656454819,True
FAISS,ColBERT,0.820468325099504,0.8081420272298836,1.2776808319134147,0.21001732085059044,False
FAISS,BM25,0.820468325099504,0.8045960894291001,1.7702704292784313,0.08564930682744892,False
FAISS,Search-R1 E5,0.820468325099504,0.49517132711917144,5.839275153942598,1.392624373520356e-06,True
R-PPO,SAC,0.820468325099504,0.820468325099504,0.0,1.0,False
R-PPO,Deep Retrieval+BM25,0.820468325099504,0.7318973152912119,1.7093330526139079,0.09650318137428528,False
R-PPO,PPO,0.820468325099504,0.8200356876656398,0.9652648127755332,0.34122814442499283,False
R-PPO,Deep Retrieval+FAISS,0.820468325099504,0.6786192243354947,2.287396036739826,0.02851810656454819,True
R-PPO,ColBERT,0.820468325099504,0.8081420272298836,1.2776808319134147,0.21001732085059044,False
R-PPO,BM25,0.820468325099504,0.8045960894291001,1.7702704292784313,0.08564930682744892,False
R-PPO,Search-R1 E5,0.820468325099504,0.49517132711917144,5.839275153942598,1.392624373520356e-06,True
SAC,Deep Retrieval+BM25,0.820468325099504,0.7318973152912119,1.7093330526139079,0.09650318137428528,False
SAC,PPO,0.820468325099504,0.8200356876656398,0.9652648127755332,0.34122814442499283,False
SAC,Deep Retrieval+FAISS,0.820468325099504,0.6786192243354947,2.287396036739826,0.02851810656454819,True
SAC,ColBERT,0.820468325099504,0.8081420272298836,1.2776808319134147,0.21001732085059044,False
SAC,BM25,0.820468325099504,0.8045960894291001,1.7702704292784313,0.08564930682744892,False
SAC,Search-R1 E5,0.820468325099504,0.49517132711917144,5.839275153942598,1.392624373520356e-06,True
Deep Retrieval+BM25,PPO,0.7318973152912119,0.8200356876656398,-1.7062411448539088,0.09708326206710131,False
Deep Retrieval+BM25,Deep Retrieval+FAISS,0.7318973152912119,0.6786192243354947,0.8113368671229498,0.4228158984802164,False
Deep Retrieval+BM25,ColBERT,0.7318973152912119,0.8081420272298836,-1.4512091780857126,0.15588649755514125,False
Deep Retrieval+BM25,BM25,0.7318973152912119,0.8045960894291001,-1.3836619294430392,0.17547952907954945,False
Deep Retrieval+BM25,Search-R1 E5,0.7318973152912119,0.49517132711917144,3.965554182444691,0.0003573864272482273,True
PPO,Deep Retrieval+FAISS,0.8200356876656398,0.6786192243354947,2.285130694832833,0.028665007008333757,True
PPO,ColBERT,0.8200356876656398,0.8081420272298836,1.2294015081108942,0.22736160346665013,False
PPO,BM25,0.8200356876656398,0.8045960894291001,1.7158049841444887,0.09529833861835472,False
PPO,Search-R1 E5,0.8200356876656398,0.49517132711917144,5.840405697269772,1.3879208401451942e-06,True
Deep Retrieval+FAISS,ColBERT,0.6786192243354947,0.8081420272298836,-2.0993967426484827,0.04327994956526859,True
Deep Retrieval+FAISS,BM25,0.6786192243354947,0.8045960894291001,-2.0315611835087197,0.05007283837081933,False
Deep Retrieval+FAISS,Search-R1 E5,0.6786192243354947,0.49517132711917144,2.5232430299566415,0.01646981345258713,True
ColBERT,BM25,0.8081420272298836,0.8045960894291001,1.2913479568326243,0.20529374642930429,False
ColBERT,Search-R1 E5,0.8081420272298836,0.49517132711917144,5.971836445292067,9.368355390277783e-07,True
BM25,Search-R1 E5,0.8045960894291001,0.49517132711917144,5.8974794149086796,1.170063536032936e-06,True
