method,DDPG,FAISS,R-PPO,SAC,Deep Retrieval+BM25,PPO,Deep Retrieval+FAISS,ColBERT,BM25,Search-R1 E5
DDPG,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.7105325746454552,1.1030065108761213,2.288483580566222,1.2832383135592085,1.7764887885694853,5.839777242515043
FAISS,-1.0000000000000002,0.0,0.0,0.0,1.7093330526139079,0.9652648127755332,2.287396036739826,1.2776808319134147,1.7702704292784313,5.839275153942598
R-PPO,-1.0000000000000002,-0.0,0.0,0.0,1.7093330526139079,0.9652648127755332,2.287396036739826,1.2776808319134147,1.7702704292784313,5.839275153942598
SAC,-1.0000000000000002,-0.0,-0.0,0.0,1.7093330526139079,0.9652648127755332,2.287396036739826,1.2776808319134147,1.7702704292784313,5.839275153942598
Deep Retrieval+BM25,-1.7105325746454552,-1.7093330526139079,-1.7093330526139079,-1.7093330526139079,0.0,-1.7062411448539088,0.8113368671229498,-1.4512091780857126,-1.3836619294430392,3.965554182444691
PPO,-1.1030065108761213,-0.9652648127755332,-0.9652648127755332,-0.9652648127755332,1.7062411448539088,0.0,2.285130694832833,1.2294015081108942,1.7158049841444887,5.840405697269772
Deep Retrieval+FAISS,-2.288483580566222,-2.287396036739826,-2.287396036739826,-2.287396036739826,-0.8113368671229498,-2.285130694832833,0.0,-2.0993967426484827,-2.0315611835087197,2.5232430299566415
ColBERT,-1.2832383135592085,-1.2776808319134147,-1.2776808319134147,-1.2776808319134147,1.4512091780857126,-1.2294015081108942,2.0993967426484827,0.0,1.2913479568326243,5.971836445292067
BM25,-1.7764887885694853,-1.7702704292784313,-1.7702704292784313,-1.7702704292784313,1.3836619294430392,-1.7158049841444887,2.0315611835087197,-1.2913479568326243,0.0,5.8974794149086796
Search-R1 E5,-5.839777242515043,-5.839275153942598,-5.839275153942598,-5.839275153942598,-3.965554182444691,-5.840405697269772,-2.5232430299566415,-5.971836445292067,-5.8974794149086796,0.0
