method,ColBERT,Deep Retrieval+FAISS,PPO,SAC,R-PPO,Deep Retrieval+BM25,DDPG,FAISS,BM25,Search-R1 E5
ColBERT,1.0,1.0,1.0,1.0,1.0,0.4499980493405483,1.0,0.17755853250451473,2.3538352073938123e-05,2.8026846331413053e-16
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00027465602796210336,3.3493147930940437e-16
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8835663043108503,0.005455938463671084,1.8965935641651165e-14
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04882742615061861,3.3456335408339175e-14
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021074642710580484,1.2560455324180174e-13
Deep Retrieval+BM25,0.4499980493405483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009058362816591153,5.1035377973986444e-12
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34193515824320075,4.00846093506997e-11
FAISS,0.17755853250451473,1.0,0.8835663043108503,1.0,1.0,1.0,1.0,1.0,1.0,7.212871260058143e-10
BM25,2.3538352073938123e-05,0.00027465602796210336,0.005455938463671084,0.04882742615061861,0.021074642710580484,0.009058362816591153,0.34193515824320075,1.0,1.0,9.377495072780765e-07
Search-R1 E5,2.8026846331413053e-16,3.3493147930940437e-16,1.8965935641651165e-14,3.3456335408339175e-14,1.2560455324180174e-13,5.1035377973986444e-12,4.00846093506997e-11,7.212871260058143e-10,9.377495072780765e-07,1.0
