method,ColBERT,Deep Retrieval+FAISS,PPO,SAC,R-PPO,Deep Retrieval+BM25,DDPG,FAISS,BM25,Search-R1 E5
ColBERT,1.0,0.9960044897799936,0.9272448647048169,0.5903762991453344,0.5131883049461086,0.395026673474427,0.2026011757236349,0.016116573464336703,2.369210973585112e-05,1.1102230246251565e-16
Deep Retrieval+FAISS,0.9960044897799936,1.0,0.9999779325064694,0.9852330416191577,0.9719942142173792,0.9351873906707744,0.7868693559660118,0.21928485074672843,0.001720004492338001,1.1102230246251565e-16
PPO,0.9272448647048169,0.9999779325064694,1.0,0.9998444127281853,0.9994073633041205,0.9968164196541704,0.9675994335465292,0.5196016303212463,0.011361892079412184,1.1102230246251565e-16
SAC,0.5903762991453344,0.9852330416191577,0.9998444127281853,1.0,0.9999999999643906,0.9999998280106418,0.9998242805343865,0.8926146236354099,0.08033088715484726,3.3306690738754696e-16
R-PPO,0.5131883049461086,0.9719942142173792,0.9994073633041205,0.9999999999643906,1.0,0.9999999978077668,0.9999649451226426,0.9299621425283883,0.10754376524309783,7.771561172376096e-16
Deep Retrieval+BM25,0.395026673474427,0.9351873906707744,0.9968164196541704,0.9999998280106418,0.9999999978077668,1.0,0.9999989620872936,0.9691177526700117,0.16477289046717303,3.1086244689504383e-15
DDPG,0.2026011757236349,0.7868693559660118,0.9675994335465292,0.9998242805343865,0.9999649451226426,0.9999989620872936,1.0,0.99705465428277,0.3375419271561867,5.062616992290714e-14
FAISS,0.016116573464336703,0.21928485074672843,0.5196016303212463,0.8926146236354099,0.9299621425283883,0.9691177526700117,0.99705465428277,1.0,0.8926146236354109,4.442424206274609e-11
BM25,2.369210973585112e-05,0.001720004492338001,0.011361892079412184,0.08033088715484726,0.10754376524309783,0.16477289046717303,0.3375419271561867,0.8926146236354109,1.0,7.957079468656758e-07
Search-R1 E5,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,7.771561172376096e-16,3.1086244689504383e-15,5.062616992290714e-14,4.442424206274609e-11,7.957079468656758e-07,1.0
