method,ColBERT,Deep Retrieval+FAISS,PPO,SAC,R-PPO,Deep Retrieval+BM25,DDPG,FAISS,BM25,Search-R1 E5
ColBERT,0.0,0.8465014414247349,0.6630767101603409,1.3538173546963084,0.8435628889138406,2.0590077574015897,1.7450637126856365,2.540736717770469,5.159000239681581,10.647095172668699
Deep Retrieval+FAISS,-0.8465014414247349,0.0,-0.027059762410025903,0.6829855441165784,0.1466774678284112,1.265759065987993,1.145061272098123,1.9731907748430415,4.389200419538843,10.755986949342015
PPO,-0.6630767101603409,0.027059762410025903,0.0,1.0753984828514247,0.2687664941762861,1.0300915841720784,1.6751219766316874,2.440654013926409,4.144260763227955,9.418203348256144
SAC,-1.3538173546963084,-0.6829855441165784,-1.0753984828514247,0.0,-0.7208507942800634,0.34997097235686564,0.6818613888395271,1.3822805582102755,3.482902163906273,9.456974895211358
R-PPO,-0.8435628889138406,-0.1466774678284112,-0.2687664941762861,0.7208507942800634,0.0,0.8102132310591131,1.4235800460207935,2.0547459312543612,3.883992422064929,9.06724419153582
Deep Retrieval+BM25,-2.0590077574015897,-1.265759065987993,-1.0300915841720784,-0.34997097235686564,-0.8102132310591131,0.0,0.12365016995926409,0.9473170237929923,3.4926174882140937,8.609502648952192
DDPG,-1.7450637126856365,-1.145061272098123,-1.6751219766316874,-0.6818613888395271,-1.4235800460207935,-0.12365016995926409,0.0,0.9449761030644117,2.900236763903488,8.077792619428074
FAISS,-2.540736717770469,-1.9731907748430415,-2.440654013926409,-1.3822805582102755,-2.0547459312543612,-0.9473170237929923,-0.9449761030644117,0.0,2.2783221325611787,7.47707784946312
BM25,-5.159000239681581,-4.389200419538843,-4.144260763227955,-3.482902163906273,-3.883992422064929,-3.4926174882140937,-2.900236763903488,-2.2783221325611787,0.0,5.85308326438502
Search-R1 E5,-10.647095172668699,-10.755986949342015,-9.418203348256144,-9.456974895211358,-9.06724419153582,-8.609502648952192,-8.077792619428074,-7.47707784946312,-5.85308326438502,0.0
