method,SAC,PPO,R-PPO,ColBERT,DDPG,Deep Retrieval+FAISS,Deep Retrieval+BM25,FAISS,BM25,Search-R1 E5
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007269091069558382,8.052789603178471e-05
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001981842712079955,7.966101665485013e-05
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003609221980312187,6.848445952938293e-05
ColBERT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012523182205708722,0.0013721429933142488
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01952891466129067,0.001826450077821921
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004579645248153261,8.210348241071311e-05
Deep Retrieval+BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011250411544958718,0.001996487680186785
FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1110854983202274,0.01354576155870573
BM25,0.0007269091069558382,0.001981842712079955,0.0003609221980312187,0.0012523182205708722,0.01952891466129067,0.004579645248153261,0.0011250411544958718,0.1110854983202274,1.0,1.0
Search-R1 E5,8.052789603178471e-05,7.966101665485013e-05,6.848445952938293e-05,0.0013721429933142488,0.001826450077821921,8.210348241071311e-05,0.001996487680186785,0.01354576155870573,1.0,1.0
