method,SAC,PPO,R-PPO,ColBERT,DDPG,Deep Retrieval+FAISS,Deep Retrieval+BM25,FAISS,BM25,Search-R1 E5
SAC,1.0,0.999999999997314,0.9999999997362448,0.9999886270041171,0.9990347372571143,0.998940327193004,0.9962921189901743,0.989018716356209,0.014212873344737975,0.001996977242037401
PPO,0.999999999997314,1.0,0.99999999999993,0.9999979781486339,0.9996097332680697,0.9995657134406958,0.9981950235445972,0.9938694175196167,0.018815206072491764,0.0027791931224886435
R-PPO,0.9999999997362448,0.99999999999993,1.0,0.9999994969862184,0.9998019448244326,0.9997772096068394,0.998940327193004,0.9960044897799936,0.022579160941575194,0.003449762450811189
ColBERT,0.9999886270041171,0.9999979781486339,0.9999994969862184,1.0,0.9999994969862184,0.9999993551400134,0.9999865062332105,0.9998625248160657,0.06058521241637349,0.011361892079412184
DDPG,0.9990347372571143,0.9996097332680697,0.9998019448244326,0.9999994969862184,1.0,1.0,0.999999999529575,0.9999997721655115,0.1415272943676965,0.033086978032967784
Deep Retrieval+FAISS,0.998940327193004,0.9995657134406958,0.9997772096068394,0.9999993551400134,1.0,1.0,0.9999999997362448,0.9999998280106418,0.14468902667796635,0.03404848625651957
Deep Retrieval+BM25,0.9962921189901743,0.9981950235445972,0.998940327193004,0.9999865062332105,0.999999999529575,0.9999999997362448,1.0,0.999999999529575,0.19856940251634236,0.05164479810080358
FAISS,0.989018716356209,0.9938694175196167,0.9960044897799936,0.9998625248160657,0.9999997721655115,0.9999998280106418,0.999999999529575,1.0,0.2697222750892032,0.07834190457764334
BM25,0.014212873344737975,0.018815206072491764,0.022579160941575194,0.06058521241637349,0.1415272943676965,0.14468902667796635,0.19856940251634236,0.2697222750892032,1.0,0.9999649451226426
Search-R1 E5,0.001996977242037401,0.0027791931224886435,0.003449762450811189,0.011361892079412184,0.033086978032967784,0.03404848625651957,0.05164479810080358,0.07834190457764334,0.9999649451226426,1.0
