method,SAC,PPO,R-PPO,ColBERT,DDPG,Deep Retrieval+FAISS,Deep Retrieval+BM25,FAISS,BM25,Search-R1 E5
SAC,1.0,0.9778971378596737,0.8704143659030532,0.7138550551562325,0.7917230436318785,0.23774628275389476,0.3515551715763926,0.2566976896496175,5.18407550941174e-05,1.6161999921626012e-07
PPO,0.9778971378596737,1.0,0.8376216473517205,0.7335535473580108,0.7928669960640639,0.23071126648672027,0.3647547516621781,0.21724275900394235,7.642860547087048e-05,3.949456401074893e-07
R-PPO,0.8704143659030532,0.8376216473517205,1.0,0.6535229193367911,0.676224687563831,0.20178097112040513,0.34472352846172805,0.2267062885121722,7.000368053963266e-05,5.814132692359708e-07
ColBERT,0.7138550551562325,0.7335535473580108,0.6535229193367911,1.0,0.8595150069494831,0.36979772789190823,0.5789713772855904,0.5780820304931864,0.00010745923861042191,3.091558219041529e-06
DDPG,0.7917230436318785,0.7928669960640639,0.676224687563831,0.8595150069494831,1.0,0.3160594978570871,0.501702263650512,0.30207444708899056,0.00018101562881067915,5.765924560858712e-06
Deep Retrieval+FAISS,0.23774628275389476,0.23071126648672027,0.20178097112040513,0.36979772789190823,0.3160594978570871,1.0,0.6678258363982041,0.8865107874962159,0.0003078535685494058,1.6918005037934177e-06
Deep Retrieval+BM25,0.3515551715763926,0.3647547516621781,0.34472352846172805,0.5789713772855904,0.501702263650512,0.6678258363982041,1.0,0.8741953415545567,0.00012830422253602578,8.139574938384264e-06
FAISS,0.2566976896496175,0.21724275900394235,0.2267062885121722,0.5780820304931864,0.30207444708899056,0.8865107874962159,0.8741953415545567,1.0,0.001767899770125294,2.8803009544064813e-05
BM25,5.18407550941174e-05,7.642860547087048e-05,7.000368053963266e-05,0.00010745923861042191,0.00018101562881067915,0.0003078535685494058,0.00012830422253602578,0.001767899770125294,1.0,0.10125149300667315
Search-R1 E5,1.6161999921626012e-07,3.949456401074893e-07,5.814132692359708e-07,3.091558219041529e-06,5.765924560858712e-06,1.6918005037934177e-06,8.139574938384264e-06,2.8803009544064813e-05,0.10125149300667315,1.0
