method,SAC,PPO,R-PPO,ColBERT,DDPG,Deep Retrieval+FAISS,Deep Retrieval+BM25,FAISS,BM25,Search-R1 E5
SAC,0.0,0.027746664025418324,-0.16338159818772782,0.3673033157867428,0.2644945829788382,1.1848598569532034,0.9341734476954008,1.1381035229790497,4.154280456951763,5.468919991598802
PPO,-0.027746664025418324,0.0,-0.20525466563272235,0.34096821541797523,0.2630075974267181,1.2028902769638015,0.9088053838811405,1.238542508435403,4.0554926700874665,5.2801648806840085
R-PPO,0.16338159818772782,0.20525466563272235,0.0,0.44967710738382727,0.41835114735777296,1.28150866589714,0.947542169559676,1.2133314259089387,4.0779908817606945,5.197095566993992
ColBERT,-0.3673033157867428,-0.34096821541797523,-0.44967710738382727,0.0,-0.17726343402164618,0.8992667255054744,0.5559695289854136,0.5572738777780798,3.967310234274326,4.82740524385829
DDPG,-0.2644945829788382,-0.2630075974267181,-0.41835114735777296,0.17726343402164618,0.0,1.0055889654919654,0.67326748363089,1.0351760919822468,3.8295110972523494,4.684498436570754
Deep Retrieval+FAISS,-1.1848598569532034,-1.2028902769638015,-1.28150866589714,-0.8992667255054744,-1.0055889654919654,0.0,-0.42989098528819886,-0.1429375572674494,3.6853283478291865,4.962925837474134
Deep Retrieval+BM25,-0.9341734476954008,-0.9088053838811405,-0.947542169559676,-0.5559695289854136,-0.67326748363089,0.42989098528819886,0.0,0.1585735295407847,3.9208592467792767,4.604138299247934
FAISS,-1.1381035229790497,-1.238542508435403,-1.2133314259089387,-0.5572738777780798,-1.0351760919822468,0.1429375572674494,-0.1585735295407847,0.0,3.1775667444215276,4.300700165652637
BM25,-4.154280456951763,-4.0554926700874665,-4.0779908817606945,-3.967310234274326,-3.8295110972523494,-3.6853283478291865,-3.9208592467792767,-3.1775667444215276,0.0,1.6478546879283704
Search-R1 E5,-5.468919991598802,-5.2801648806840085,-5.197095566993992,-4.82740524385829,-4.684498436570754,-4.962925837474134,-4.604138299247934,-4.300700165652637,-1.6478546879283704,0.0
