method,BM25,Search-R1 E5,ColBERT,Deep Retrieval+FAISS,Deep Retrieval+BM25,DDPG,PPO,SAC,R-PPO,FAISS
BM25,1.0,1.0,0.020526258714782284,8.992799096560711e-05,4.342596641544032e-07,5.436761843912091e-07,1.4799587910070773e-07,4.609166186528165e-09,2.3954208187683215e-08,4.5420333587500443e-10
Search-R1 E5,1.0,1.0,0.01302553484730732,0.00011801789987372787,4.206630429118882e-06,2.456971376449048e-07,3.574931062234194e-08,1.3910440406698909e-08,1.590922257209299e-08,1.7299644801221746e-09
ColBERT,0.020526258714782284,0.01302553484730732,1.0,0.9120957803575835,0.004129046949404818,0.0003023770517434178,7.538129424445488e-05,5.683613452564113e-06,1.017506069088826e-05,1.7351931758653404e-08
Deep Retrieval+FAISS,8.992799096560711e-05,0.00011801789987372787,0.9120957803575835,1.0,1.0,0.06517099337638838,0.008208237436119138,0.00036423903618316376,0.0004052435048941946,1.9191567641971923e-06
Deep Retrieval+BM25,4.342596641544032e-07,4.206630429118882e-06,0.004129046949404818,1.0,1.0,1.0,1.0,0.14635183593021564,0.18117718953255246,0.0054491579899956875
DDPG,5.436761843912091e-07,2.456971376449048e-07,0.0003023770517434178,0.06517099337638838,1.0,1.0,1.0,1.0,1.0,1.0
PPO,1.4799587910070773e-07,3.574931062234194e-08,7.538129424445488e-05,0.008208237436119138,1.0,1.0,1.0,1.0,1.0,1.0
SAC,4.609166186528165e-09,1.3910440406698909e-08,5.683613452564113e-06,0.00036423903618316376,0.14635183593021564,1.0,1.0,1.0,1.0,1.0
R-PPO,2.3954208187683215e-08,1.590922257209299e-08,1.017506069088826e-05,0.0004052435048941946,0.18117718953255246,1.0,1.0,1.0,1.0,1.0
FAISS,4.5420333587500443e-10,1.7299644801221746e-09,1.7351931758653404e-08,1.9191567641971923e-06,0.0054491579899956875,1.0,1.0,1.0,1.0,1.0
