method,BM25,Search-R1 E5,ColBERT,Deep Retrieval+FAISS,Deep Retrieval+BM25,DDPG,PPO,SAC,R-PPO,FAISS
BM25,1.0,0.9999999820853653,0.3543264403044518,0.03019341915314766,3.354493801155378e-05,5.354233292287347e-07,1.1361092311368282e-07,8.519848382348982e-09,3.994915509508701e-11,1.3298251388960125e-12
Search-R1 E5,0.9999999820853653,1.0,0.5006094398395984,0.05880421307404937,9.828468383421551e-05,1.8518388498200977e-06,4.154265074163277e-07,3.400330073066726e-08,1.8807044810387197e-10,6.8930416929902094e-12
ColBERT,0.3543264403044518,0.5006094398395984,1.0,0.9937990658021959,0.22167390923467645,0.02814901365538469,0.011577530720587759,0.002393960029439035,7.155597098162936e-05,6.869926516550606e-06
Deep Retrieval+FAISS,0.03019341915314766,0.05880421307404937,0.9937990658021959,1.0,0.839057968065883,0.3408309354768889,0.20158193318773843,0.07092642507777425,0.005178964548507858,0.0007997548992549897
Deep Retrieval+BM25,3.354493801155378e-05,9.828468383421551e-05,0.22167390923467645,0.839057968065883,1.0,0.9991110383375411,0.9914689293448096,0.9197187457791319,0.455017963032731,0.19201814645981918
DDPG,5.354233292287347e-07,1.8518388498200977e-06,0.02814901365538469,0.3408309354768889,0.9991110383375411,1.0,0.9999999092491306,0.9996680579820797,0.912442554806479,0.6691170909981552
PPO,1.1361092311368282e-07,4.154265074163277e-07,0.011577530720587759,0.20158193318773843,0.9914689293448096,0.9999999092491306,1.0,0.9999948148722262,0.9744017780386962,0.828020730986675
SAC,8.519848382348982e-09,3.400330073066726e-08,0.002393960029439035,0.07092642507777425,0.9197187457791319,0.9996680579820797,0.9999948148722262,1.0,0.998886880112743,0.9675825088496498
R-PPO,3.994915509508701e-11,1.8807044810387197e-10,7.155597098162936e-05,0.005178964548507858,0.455017963032731,0.912442554806479,0.9744017780386962,0.998886880112743,1.0,0.9999876533757694
FAISS,1.3298251388960125e-12,6.8930416929902094e-12,6.869926516550606e-06,0.0007997548992549897,0.19201814645981918,0.6691170909981552,0.828020730986675,0.9675825088496498,0.9999876533757694,1.0
