method,BM25,Search-R1 E5,ColBERT,Deep Retrieval+FAISS,Deep Retrieval+BM25,DDPG,PPO,SAC,R-PPO,FAISS
BM25,1.0,0.6329825196722401,0.0012342594580503706,1.050752245197561e-06,2.942866884274339e-10,8.632684287406172e-11,4.673299481208852e-11,2.9760238184282806e-13,3.20604072545494e-12,8.611140603049988e-15
Search-R1 E5,0.6329825196722401,1.0,0.00038364308731924946,9.0590451409026e-07,7.825251781586372e-09,1.3098792560219694e-10,2.582578293523223e-11,3.965585725105503e-12,2.8985710711540024e-12,2.3417312701745898e-14
ColBERT,0.0012342594580503706,0.00038364308731924946,1.0,0.01868853401739694,0.000395235468706861,3.361756769293128e-06,8.683703726646385e-07,2.224033871483906e-08,3.64644618631156e-08,1.1200954190414175e-11
Deep Retrieval+FAISS,1.050752245197561e-06,9.0590451409026e-07,0.01868853401739694,1.0,0.15057425630994312,0.0017328724667822254,0.0005330863102878046,4.699859808277187e-06,1.668105206931732e-05,1.1370591553724517e-08
Deep Retrieval+BM25,2.942866884274339e-10,7.825251781586372e-09,0.000395235468706861,0.15057425630994312,1.0,0.06724350802488531,0.05057598562800685,0.004494473751563459,0.006193122382596886,7.994263604417593e-05
DDPG,8.632684287406172e-11,1.3098792560219694e-10,3.361756769293128e-06,0.0017328724667822254,0.06724350802488531,1.0,0.8549968790087403,0.14307993690574494,0.11230685641647242,0.11033648415006964
PPO,4.673299481208852e-11,2.582578293523223e-11,8.683703726646385e-07,0.0005330863102878046,0.05057598562800685,0.8549968790087403,1.0,0.13435182083864902,0.0696787633065984,0.10985830426499299
SAC,2.9760238184282806e-13,3.965585725105503e-12,2.224033871483906e-08,4.699859808277187e-06,0.004494473751563459,0.14307993690574494,0.13435182083864902,1.0,0.8542949865141116,0.38771937812196877
R-PPO,3.20604072545494e-12,2.8985710711540024e-12,3.64644618631156e-08,1.668105206931732e-05,0.006193122382596886,0.11230685641647242,0.0696787633065984,0.8542949865141116,1.0,0.4819612444009005
FAISS,8.611140603049988e-15,2.3417312701745898e-14,1.1200954190414175e-11,1.1370591553724517e-08,7.994263604417593e-05,0.11033648415006964,0.10985830426499299,0.38771937812196877,0.4819612444009005,1.0
