method,BM25,Search-R1 E5,ColBERT,Deep Retrieval+FAISS,Deep Retrieval+BM25,DDPG,PPO,SAC,R-PPO,FAISS
BM25,0.0,-0.47879955290048837,3.3123065135509617,5.155779563597594,6.898661531348478,7.142887702530704,7.263976458057904,8.239376380382657,7.785213437562672,8.905929199142756
Search-R1 E5,0.47879955290048837,0.0,3.6580532774368306,5.189892206670302,6.227617528358924,7.060201507004678,7.380348101495392,7.744247220416152,7.804617425184984,8.71871501002712
ColBERT,-3.3123065135509617,-3.6580532774368306,0.0,2.3852338602890675,3.6495274748822326,4.883680464683787,5.199600944775493,6.007293815449677,5.901665654299998,7.543256372101896
Deep Retrieval+FAISS,-5.155779563597594,-5.189892206670302,-2.3852338602890675,0.0,1.44707024828769,3.207144572973747,3.5630661283132765,4.803635104102643,4.493401857939552,6.149221478937197
Deep Retrieval+BM25,-6.898661531348478,-6.227617528358924,-3.6495274748822326,-1.44707024828769,0.0,1.8473566837754878,1.9755878548120787,2.897769631425144,2.788349865836021,4.08992338318515
DDPG,-7.142887702530704,-7.060201507004678,-4.883680464683787,-3.207144572973747,-1.8473566837754878,0.0,0.1831540627740878,1.4744104317250264,1.6000533418564364,1.6089913139843923
PPO,-7.263976458057904,-7.380348101495392,-5.199600944775493,-3.5630661283132765,-1.9755878548120787,-0.1831540627740878,0.0,1.5076929051172514,1.8309223608794456,1.611179658054664
SAC,-8.239376380382657,-7.744247220416152,-6.007293815449677,-4.803635104102643,-2.897769631425144,-1.4744104317250264,-1.5076929051172514,0.0,0.18405076562417008,0.867022956873347
R-PPO,-7.785213437562672,-7.804617425184984,-5.901665654299998,-4.493401857939552,-2.788349865836021,-1.6000533418564364,-1.8309223608794456,-0.18405076562417008,0.0,0.7054229235784574
FAISS,-8.905929199142756,-8.71871501002712,-7.543256372101896,-6.149221478937197,-4.08992338318515,-1.6089913139843923,-1.611179658054664,-0.867022956873347,-0.7054229235784574,0.0
