method,SAC,R-PPO,Deep Retrieval+FAISS,ColBERT,Search-R1 E5,DDPG,PPO,BM25,Deep Retrieval+BM25,FAISS
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01813475082174576
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.736997636964562
ColBERT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Search-R1 E5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Deep Retrieval+BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAISS,0.01813475082174576,1.0,0.736997636964562,1.0,1.0,1.0,1.0,1.0,1.0,1.0
