method,SAC,R-PPO,Deep Retrieval+FAISS,ColBERT,Search-R1 E5,DDPG,PPO,BM25,Deep Retrieval+BM25,FAISS
SAC,1.0,0.9999622925602963,0.9942432636025088,0.9834631087463253,0.9775700668220997,0.942690416344848,0.9400157878956125,0.8583317590411202,0.746783174653107,0.05384704285851316
R-PPO,0.9999622925602963,1.0,0.9999893923035319,0.999870758041935,0.9997457135847704,0.9981273775107833,0.9979416893813259,0.988074947016713,0.9611351292701542,0.20687002399053445
Deep Retrieval+FAISS,0.9942432636025088,0.9999893923035319,1.0,0.9999999992283011,0.9999999898865833,0.9999970345093679,0.9999962797678085,0.9998292684512601,0.9982988657131643,0.47272849565357167
ColBERT,0.9834631087463253,0.999870758041935,0.9999999992283011,1.0,0.99999999999996,0.999999964841961,0.999999948654943,0.9999844313732759,0.9996723057977408,0.5810727277794974
Search-R1 E5,0.9775700668220997,0.9997457135847704,0.9999999898865833,0.99999999999996,1.0,0.9999999960543469,0.9999999936031032,0.999994249587639,0.9998292684512601,0.6171406037153595
DDPG,0.942690416344848,0.9981273775107833,0.9999970345093679,0.999999964841961,0.9999999960543469,1.0,1.0,0.999999964841961,0.9999913062704708,0.7404142402640558
PPO,0.9400157878956125,0.9979416893813259,0.9999962797678085,0.999999948654943,0.9999999936031032,1.0,1.0,0.9999999763366847,0.9999929107638458,0.7467831746531085
BM25,0.8583317590411202,0.988074947016713,0.9998292684512601,0.9999844313732759,0.999994249587639,0.999999964841961,0.9999999763366847,1.0,0.9999999898865833,0.8676073239269464
Deep Retrieval+BM25,0.746783174653107,0.9611351292701542,0.9982988657131643,0.9996723057977408,0.9998292684512601,0.9999913062704708,0.9999929107638458,0.9999999898865833,1.0,0.9400157878956131
FAISS,0.05384704285851316,0.20687002399053445,0.47272849565357167,0.5810727277794974,0.6171406037153595,0.7404142402640558,0.7467831746531085,0.8676073239269464,0.9400157878956131,1.0
