method,SAC,R-PPO,Deep Retrieval+FAISS,ColBERT,Search-R1 E5,DDPG,PPO,BM25,Deep Retrieval+BM25,FAISS
SAC,1.0,0.28788709073149404,0.5698902567282145,0.22625770121030053,0.28585730972791973,0.06314579131680573,0.0580953041824037,0.06427663091669374,0.04763827748426992,0.0004630186718295496
R-PPO,0.28788709073149404,1.0,0.6971946879187034,0.8752768592040245,0.8660388152380324,0.388930318426861,0.520226085113947,0.5697929349127547,0.33270979901608533,0.04892363105329563
Deep Retrieval+FAISS,0.5698902567282145,0.6971946879187034,1.0,0.5111029505825591,0.5847286776825988,0.28830128030886565,0.29011621586151853,0.30688177141755824,0.17256782600574677,0.012010789478292299
ColBERT,0.22625770121030053,0.8752768592040245,0.5111029505825591,1.0,0.9818611398825892,0.5805804419189988,0.580671064060128,0.641728050525036,0.35761512257152595,0.033024783345234524
Search-R1 E5,0.28585730972791973,0.8660388152380324,0.5847286776825988,0.9818611398825892,1.0,0.6334576708193969,0.663852229855658,0.719195757947509,0.4685099593482016,0.06743220874132538
DDPG,0.06314579131680573,0.388930318426861,0.28830128030886565,0.5805804419189988,0.6334576708193969,1.0,0.9751946809028287,0.903532367249096,0.7601575497985225,0.13074282439193582
PPO,0.0580953041824037,0.520226085113947,0.29011621586151853,0.580671064060128,0.663852229855658,0.9751946809028287,1.0,0.9289757229922344,0.789575216881397,0.12623014006115374
BM25,0.06427663091669374,0.5697929349127547,0.30688177141755824,0.641728050525036,0.719195757947509,0.903532367249096,0.9289757229922344,1.0,0.6202894017504185,0.09022959254349519
Deep Retrieval+BM25,0.04763827748426992,0.33270979901608533,0.17256782600574677,0.35761512257152595,0.4685099593482016,0.7601575497985225,0.789575216881397,0.6202894017504185,1.0,0.16985147913455362
FAISS,0.0004630186718295496,0.04892363105329563,0.012010789478292299,0.033024783345234524,0.06743220874132538,0.13074282439193582,0.12623014006115374,0.09022959254349519,0.16985147913455362,1.0
