method_a,method_b,mean_a,mean_b,t_stat,p_value,significant_p05
SAC,R-PPO,0.6880193907943454,0.6409474193308781,1.0670719143490428,0.28788709073149404,False
SAC,Deep Retrieval+FAISS,0.6880193907943454,0.6604953915591546,0.569639693803223,0.5698902567282145,False
SAC,ColBERT,0.6880193907943454,0.6340627018421877,1.215729644057197,0.22625770121030053,False
SAC,Search-R1 E5,0.6880193907943454,0.6329573934837093,1.0715950278797184,0.28585730972791973,False
SAC,DDPG,0.6880193907943454,0.6098722130151238,1.8739657226927355,0.06314579131680573,False
SAC,PPO,0.6880193907943454,0.6112017382951536,1.9115973186555621,0.0580953041824037,False
SAC,BM25,0.6880193907943454,0.6150783722360749,1.865886720306687,0.06427663091669374,False
SAC,Deep Retrieval+BM25,0.6880193907943454,0.5980935968367361,1.9992167317455245,0.04763827748426992,True
SAC,FAISS,0.6880193907943454,0.5363462887769,3.5912335408754004,0.0004630186718295496,True
R-PPO,Deep Retrieval+FAISS,0.6409474193308781,0.6604953915591546,-0.3899599326061862,0.6971946879187034,False
R-PPO,ColBERT,0.6409474193308781,0.6340627018421877,0.15726429404350048,0.8752768592040245,False
R-PPO,Search-R1 E5,0.6409474193308781,0.6329573934837093,0.16902105316655291,0.8660388152380324,False
R-PPO,DDPG,0.6409474193308781,0.6098722130151238,0.8644109042440965,0.388930318426861,False
R-PPO,PPO,0.6409474193308781,0.6112017382951536,0.6447222513346846,0.520226085113947,False
R-PPO,BM25,0.6409474193308781,0.6150783722360749,0.5697835800242855,0.5697929349127547,False
R-PPO,Deep Retrieval+BM25,0.6409474193308781,0.5980935968367361,0.9722391858641759,0.33270979901608533,False
R-PPO,FAISS,0.6409474193308781,0.5363462887769,1.9876160004480634,0.04892363105329563,True
Deep Retrieval+FAISS,ColBERT,0.6604953915591546,0.6340627018421877,0.6589074688276593,0.5111029505825591,False
Deep Retrieval+FAISS,Search-R1 E5,0.6604953915591546,0.6329573934837093,0.5478375147098987,0.5847286776825988,False
Deep Retrieval+FAISS,DDPG,0.6604953915591546,0.6098722130151238,1.0661516205523784,0.28830128030886565,False
Deep Retrieval+FAISS,PPO,0.6604953915591546,0.6112017382951536,1.062129581541457,0.29011621586151853,False
Deep Retrieval+FAISS,BM25,0.6604953915591546,0.6150783722360749,1.0257579436766227,0.30688177141755824,False
Deep Retrieval+FAISS,Deep Retrieval+BM25,0.6604953915591546,0.5980935968367361,1.3714297681050442,0.17256782600574677,False
Deep Retrieval+FAISS,FAISS,0.6604953915591546,0.5363462887769,2.547058776881713,0.012010789478292299,True
ColBERT,Search-R1 E5,0.6340627018421877,0.6329573934837093,0.022778771081421005,0.9818611398825892,False
ColBERT,DDPG,0.6340627018421877,0.6098722130151238,0.5539057829077605,0.5805804419189988,False
ColBERT,PPO,0.6340627018421877,0.6112017382951536,0.5537729973482025,0.580671064060128,False
ColBERT,BM25,0.6340627018421877,0.6150783722360749,0.4663579089073789,0.641728050525036,False
ColBERT,Deep Retrieval+BM25,0.6340627018421877,0.5980935968367361,0.9231466858691153,0.35761512257152595,False
ColBERT,FAISS,0.6340627018421877,0.5363462887769,2.1543974471132077,0.033024783345234524,True
Search-R1 E5,DDPG,0.6329573934837093,0.6098722130151238,0.4779763163838647,0.6334576708193969,False
Search-R1 E5,PPO,0.6329573934837093,0.6112017382951536,0.4355809583101522,0.663852229855658,False
Search-R1 E5,BM25,0.6329573934837093,0.6150783722360749,0.3603039106804946,0.719195757947509,False
Search-R1 E5,Deep Retrieval+BM25,0.6329573934837093,0.5980935968367361,0.7270055028244349,0.4685099593482016,False
Search-R1 E5,FAISS,0.6329573934837093,0.5363462887769,1.843953550744446,0.06743220874132538,False
DDPG,PPO,0.6098722130151238,0.6112017382951536,-0.031152869146638104,0.9751946809028287,False
DDPG,BM25,0.6098722130151238,0.6150783722360749,-0.12143347475428655,0.903532367249096,False
DDPG,Deep Retrieval+BM25,0.6098722130151238,0.5980935968367361,0.30590677778800357,0.7601575497985225,False
DDPG,FAISS,0.6098722130151238,0.5363462887769,1.5206367654301878,0.13074282439193582,False
PPO,BM25,0.6112017382951536,0.6150783722360749,-0.08930393476047513,0.9289757229922344,False
PPO,Deep Retrieval+BM25,0.6112017382951536,0.5980935968367361,0.2674043329813351,0.789575216881397,False
PPO,FAISS,0.6112017382951536,0.5363462887769,1.5388685464321157,0.12623014006115374,False
BM25,Deep Retrieval+BM25,0.6150783722360749,0.5980935968367361,0.4966110254020272,0.6202894017504185,False
BM25,FAISS,0.6150783722360749,0.5363462887769,1.7066981299930901,0.09022959254349519,False
Deep Retrieval+BM25,FAISS,0.5980935968367361,0.5363462887769,1.3802215343255357,0.16985147913455362,False
