method,SAC,R-PPO,Deep Retrieval+FAISS,ColBERT,Search-R1 E5,DDPG,PPO,BM25,Deep Retrieval+BM25,FAISS
SAC,0.0,1.0670719143490428,0.569639693803223,1.215729644057197,1.0715950278797184,1.8739657226927355,1.9115973186555621,1.865886720306687,1.9992167317455245,3.5912335408754004
R-PPO,-1.0670719143490428,0.0,-0.3899599326061862,0.15726429404350048,0.16902105316655291,0.8644109042440965,0.6447222513346846,0.5697835800242855,0.9722391858641759,1.9876160004480634
Deep Retrieval+FAISS,-0.569639693803223,0.3899599326061862,0.0,0.6589074688276593,0.5478375147098987,1.0661516205523784,1.062129581541457,1.0257579436766227,1.3714297681050442,2.547058776881713
ColBERT,-1.215729644057197,-0.15726429404350048,-0.6589074688276593,0.0,0.022778771081421005,0.5539057829077605,0.5537729973482025,0.4663579089073789,0.9231466858691153,2.1543974471132077
Search-R1 E5,-1.0715950278797184,-0.16902105316655291,-0.5478375147098987,-0.022778771081421005,0.0,0.4779763163838647,0.4355809583101522,0.3603039106804946,0.7270055028244349,1.843953550744446
DDPG,-1.8739657226927355,-0.8644109042440965,-1.0661516205523784,-0.5539057829077605,-0.4779763163838647,0.0,-0.031152869146638104,-0.12143347475428655,0.30590677778800357,1.5206367654301878
PPO,-1.9115973186555621,-0.6447222513346846,-1.062129581541457,-0.5537729973482025,-0.4355809583101522,0.031152869146638104,0.0,-0.08930393476047513,0.2674043329813351,1.5388685464321157
BM25,-1.865886720306687,-0.5697835800242855,-1.0257579436766227,-0.4663579089073789,-0.3603039106804946,0.12143347475428655,0.08930393476047513,0.0,0.4966110254020272,1.7066981299930901
Deep Retrieval+BM25,-1.9992167317455245,-0.9722391858641759,-1.3714297681050442,-0.9231466858691153,-0.7270055028244349,-0.30590677778800357,-0.2674043329813351,-0.4966110254020272,0.0,1.3802215343255357
FAISS,-3.5912335408754004,-1.9876160004480634,-2.547058776881713,-2.1543974471132077,-1.843953550744446,-1.5206367654301878,-1.5388685464321157,-1.7066981299930901,-1.3802215343255357,0.0
