method,SAC,PPO,Deep Retrieval+FAISS,R-PPO,DDPG,ColBERT,FAISS,Deep Retrieval+BM25,Search-R1 E5,BM25
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9759437996091495,0.05311970945485935,0.0005071796958876871
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.023975169677465193,0.00023054258662370163
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0805036714782373,0.0003673901621183801
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06408549519856113,0.0010739022903571835
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19046278934729202,0.0023978341817419346
ColBERT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9225320124381919,0.880677054835648,0.00015196104436943325
FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2735556202763475
Deep Retrieval+BM25,0.9759437996091495,1.0,1.0,1.0,1.0,0.9225320124381919,1.0,1.0,1.0,0.06516149774788056
Search-R1 E5,0.05311970945485935,0.023975169677465193,0.0805036714782373,0.06408549519856113,0.19046278934729202,0.880677054835648,1.0,1.0,1.0,1.0
BM25,0.0005071796958876871,0.00023054258662370163,0.0003673901621183801,0.0010739022903571835,0.0023978341817419346,0.00015196104436943325,0.2735556202763475,0.06516149774788056,1.0,1.0
