method,SAC,PPO,Deep Retrieval+FAISS,R-PPO,DDPG,ColBERT,FAISS,Deep Retrieval+BM25,Search-R1 E5,BM25
SAC,1.0,0.9999999986487935,0.9994648527957792,0.9980359592393875,0.9804953346574694,0.9804953346574694,0.9215983322812654,0.2506160876524709,0.00020766439273045556,6.15760053368497e-05
PPO,0.9999999986487935,1.0,0.9999375940438919,0.999649883591374,0.9934370854394968,0.9934370854394968,0.962711407804099,0.34309843121600037,0.00043782280636261994,0.00013556258342828365
Deep Retrieval+FAISS,0.9994648527957792,0.9999375940438919,1.0,0.9999999998579484,0.9999920123236549,0.9999920123236549,0.9994648527957792,0.720376175544224,0.0044201481084007455,0.0015953952014402528
R-PPO,0.9980359592393875,0.999649883591374,0.9999999998579484,1.0,0.9999996105601164,0.9999996105601164,0.9998933625969012,0.7971654035263976,0.007154981327679111,0.0026799766275962256
DDPG,0.9804953346574694,0.9934370854394968,0.9999920123236549,0.9999996105601164,1.0,1.0,0.9999998280106418,0.9299621425283883,0.021256377137922833,0.00874411212757964
ColBERT,0.9804953346574694,0.9934370854394968,0.9999920123236549,0.9999996105601164,1.0,1.0,0.9999998280106418,0.9299621425283883,0.021256377137922833,0.00874411212757964
FAISS,0.9215983322812654,0.962711407804099,0.9994648527957792,0.9998933625969012,0.9999998280106418,0.9999998280106418,1.0,0.9834600767252502,0.05164479810080358,0.023267453587676012
Deep Retrieval+BM25,0.2506160876524709,0.34309843121600037,0.720376175544224,0.7971654035263976,0.9299621425283883,0.9299621425283883,0.9834600767252502,1.0,0.5710926599210704,0.395026673474427
Search-R1 E5,0.00020766439273045556,0.00043782280636261994,0.0044201481084007455,0.007154981327679111,0.021256377137922833,0.021256377137922833,0.05164479810080358,0.5710926599210704,1.0,0.9999999303011532
BM25,6.15760053368497e-05,0.00013556258342828365,0.0015953952014402528,0.0026799766275962256,0.00874411212757964,0.00874411212757964,0.023267453587676012,0.395026673474427,0.9999999303011532,1.0
