method,SAC,PPO,Deep Retrieval+FAISS,R-PPO,DDPG,ColBERT,FAISS,Deep Retrieval+BM25,Search-R1 E5,BM25
SAC,1.0,0.8010885022934682,0.7275529725678753,0.9067748665329671,0.8591375205537868,0.6480089561809279,0.13916481839486294,0.05860156462604928,0.0021133512609533248,7.917698807019109e-06
PPO,0.8010885022934682,1.0,0.6037958615553631,0.9041711238399885,0.6806140750653058,0.5124873734609765,0.06862230166251897,0.05313843160752104,0.001546369149591896,7.260775254249184e-06
Deep Retrieval+FAISS,0.7275529725678753,0.6037958615553631,1.0,0.6625274740587948,0.820564099508556,0.8448162802374355,0.3652099514848488,0.023665768393227458,0.013470997869624487,2.9275828939244495e-06
R-PPO,0.9067748665329671,0.9041711238399885,0.6625274740587948,1.0,0.7685701628980973,0.5942044022763245,0.10923936389398568,0.07320872566472988,0.002735129604026061,1.9316885331395258e-05
DDPG,0.8591375205537868,0.6806140750653058,0.820564099508556,0.7685701628980973,1.0,0.73779718442508,0.16922501380870347,0.08568001087218222,0.0025477771087590102,2.1407750570852998e-05
ColBERT,0.6480089561809279,0.5124873734609765,0.8448162802374355,0.5942044022763245,0.73779718442508,1.0,0.46439876819046233,0.06548847030712691,0.028757983722044998,3.2393458109115455e-06
FAISS,0.13916481839486294,0.06862230166251897,0.3652099514848488,0.10923936389398568,0.16922501380870347,0.46439876819046233,1.0,0.5642859565836562,0.12156558467414391,0.001405178938549213
Deep Retrieval+BM25,0.05860156462604928,0.05313843160752104,0.023665768393227458,0.07320872566472988,0.08568001087218222,0.06548847030712691,0.5642859565836562,1.0,0.4337243326203717,0.0007515087402572195
Search-R1 E5,0.0021133512609533248,0.001546369149591896,0.013470997869624487,0.002735129604026061,0.0025477771087590102,0.028757983722044998,0.12156558467414391,0.4337243326203717,1.0,0.012701860899554518
BM25,7.917698807019109e-06,7.260775254249184e-06,2.9275828939244495e-06,1.9316885331395258e-05,2.1407750570852998e-05,3.2393458109115455e-06,0.001405178938549213,0.0007515087402572195,0.012701860899554518,1.0
