method_a,method_b,mean_a,mean_b,t_stat,p_value,significant_p05
SAC,PPO,0.6818575690827784,0.6860881745686415,-0.25233770563618535,0.8010885022934682,False
SAC,Deep Retrieval+FAISS,0.6818575690827784,0.6736243726057559,0.3489644513670767,0.7275529725678753,False
SAC,R-PPO,0.6818575690827784,0.6840532237667507,-0.11728429522784142,0.9067748665329671,False
SAC,DDPG,0.6818575690827784,0.6790547174390245,0.17774481553504637,0.8591375205537868,False
SAC,ColBERT,0.6818575690827784,0.6702152754639819,0.4573519792378867,0.6480089561809279,False
SAC,FAISS,0.6818575690827784,0.6513972865513066,1.4859564194914772,0.13916481839486294,False
SAC,Deep Retrieval+BM25,0.6818575690827784,0.6377885257077931,1.9041372484123833,0.05860156462604928,False
SAC,Search-R1 E5,0.6818575690827784,0.6200235420056454,3.122303609639439,0.0021133512609533248,True
SAC,BM25,0.6818575690827784,0.5689107492229164,4.610616012203641,7.917698807019109e-06,True
PPO,Deep Retrieval+FAISS,0.6860881745686415,0.6736243726057559,0.5199313238989559,0.6037958615553631,False
PPO,R-PPO,0.6860881745686415,0.6840532237667507,0.12057579648083194,0.9041711238399885,False
PPO,DDPG,0.6860881745686415,0.6790547174390245,0.4123425232407134,0.6806140750653058,False
PPO,ColBERT,0.6860881745686415,0.6702152754639819,0.6563649035790355,0.5124873734609765,False
PPO,FAISS,0.6860881745686415,0.6513972865513066,1.8326674208000397,0.06862230166251897,False
PPO,Deep Retrieval+BM25,0.6860881745686415,0.6377885257077931,1.9475283775413508,0.05313843160752104,False
PPO,Search-R1 E5,0.6860881745686415,0.6200235420056454,3.218552476255289,0.001546369149591896,True
PPO,BM25,0.6860881745686415,0.5689107492229164,4.630875792529188,7.260775254249184e-06,True
Deep Retrieval+FAISS,R-PPO,0.6736243726057559,0.6840532237667507,-0.4372004243183801,0.6625274740587948,False
Deep Retrieval+FAISS,DDPG,0.6736243726057559,0.6790547174390245,-0.22717471398777006,0.820564099508556,False
Deep Retrieval+FAISS,ColBERT,0.6736243726057559,0.6702152754639819,0.19603936538506747,0.8448162802374355,False
Deep Retrieval+FAISS,FAISS,0.6736243726057559,0.6513972865513066,0.9079409915506937,0.3652099514848488,False
Deep Retrieval+FAISS,Deep Retrieval+BM25,0.6736243726057559,0.6377885257077931,2.283295365574661,0.023665768393227458,True
Deep Retrieval+FAISS,Search-R1 E5,0.6736243726057559,0.6200235420056454,2.4974632096477327,0.013470997869624487,True
Deep Retrieval+FAISS,BM25,0.6736243726057559,0.5689107492229164,4.839761933255715,2.9275828939244495e-06,True
R-PPO,DDPG,0.6840532237667507,0.6790547174390245,0.2947219531065024,0.7685701628980973,False
R-PPO,ColBERT,0.6840532237667507,0.6702152754639819,0.53377260674369,0.5942044022763245,False
R-PPO,FAISS,0.6840532237667507,0.6513972865513066,1.610164177271233,0.10923936389398568,False
R-PPO,Deep Retrieval+BM25,0.6840532237667507,0.6377885257077931,1.8028201335495297,0.07320872566472988,False
R-PPO,Search-R1 E5,0.6840532237667507,0.6200235420056454,3.0411292286812577,0.002735129604026061,True
R-PPO,BM25,0.6840532237667507,0.5689107492229164,4.398224330183251,1.9316885331395258e-05,True
DDPG,ColBERT,0.6790547174390245,0.6702152754639819,0.33532646781965986,0.73779718442508,False
DDPG,FAISS,0.6790547174390245,0.6513972865513066,1.3806358550042697,0.16922501380870347,False
DDPG,Deep Retrieval+BM25,0.6790547174390245,0.6377885257077931,1.7288110850564637,0.08568001087218222,False
DDPG,Search-R1 E5,0.6790547174390245,0.6200235420056454,3.063623326472147,0.0025477771087590102,True
DDPG,BM25,0.6790547174390245,0.5689107492229164,4.3732839744090315,2.1407750570852998e-05,True
ColBERT,FAISS,0.6702152754639819,0.6513972865513066,0.733297895838941,0.46439876819046233,False
ColBERT,Deep Retrieval+BM25,0.6702152754639819,0.6377885257077931,1.8540273024047416,0.06548847030712691,False
ColBERT,Search-R1 E5,0.6702152754639819,0.6200235420056454,2.2057613612297384,0.028757983722044998,True
ColBERT,BM25,0.6702152754639819,0.5689107492229164,4.816800270675441,3.2393458109115455e-06,True
FAISS,Deep Retrieval+BM25,0.6513972865513066,0.6377885257077931,0.5776319988804363,0.5642859565836562,False
FAISS,Search-R1 E5,0.6513972865513066,0.6200235420056454,1.5561022891958467,0.12156558467414391,False
FAISS,BM25,0.6513972865513066,0.5689107492229164,3.2476250392924153,0.001405178938549213,True
Deep Retrieval+BM25,Search-R1 E5,0.6377885257077931,0.6200235420056454,0.7847175343115391,0.4337243326203717,False
Deep Retrieval+BM25,BM25,0.6377885257077931,0.5689107492229164,3.4330802056629404,0.0007515087402572195,True
Search-R1 E5,BM25,0.6200235420056454,0.5689107492229164,2.5190323202652163,0.012701860899554518,True
