method,Deep Retrieval+FAISS,Search-R1 E5,Deep Retrieval+BM25,ColBERT,BM25,PPO,R-PPO,SAC,FAISS,DDPG
Deep Retrieval+FAISS,1.0,1.0,1.0,0.044888209235207345,0.001719515561148312,2.078266797195405e-05,2.5613286065173717e-07,2.6179080747218636e-08,2.2732966438738682e-07,9.385227571893309e-08
Search-R1 E5,1.0,1.0,1.0,0.011595318785419601,0.00014466067084367365,6.678785224238157e-07,5.0462134073448844e-09,1.8960141943014556e-09,4.037847573995419e-08,5.986200233357249e-10
Deep Retrieval+BM25,1.0,1.0,1.0,0.888149968260129,0.0014403553479839463,0.001692067756974669,5.040696263448872e-05,1.061730087744205e-06,5.300824328959477e-06,9.875498123469084e-07
ColBERT,0.044888209235207345,0.011595318785419601,0.888149968260129,1.0,1.0,0.3738694591411103,0.057115529614649954,0.0115095137319144,0.021372506581695674,0.0020401923357824675
BM25,0.001719515561148312,0.00014466067084367365,0.0014403553479839463,1.0,1.0,1.0,1.0,1.0,1.0,0.8518435574639002
PPO,2.078266797195405e-05,6.678785224238157e-07,0.001692067756974669,0.3738694591411103,1.0,1.0,1.0,1.0,1.0,1.0
R-PPO,2.5613286065173717e-07,5.0462134073448844e-09,5.040696263448872e-05,0.057115529614649954,1.0,1.0,1.0,1.0,1.0,1.0
SAC,2.6179080747218636e-08,1.8960141943014556e-09,1.061730087744205e-06,0.0115095137319144,1.0,1.0,1.0,1.0,1.0,1.0
FAISS,2.2732966438738682e-07,4.037847573995419e-08,5.300824328959477e-06,0.021372506581695674,1.0,1.0,1.0,1.0,1.0,1.0
DDPG,9.385227571893309e-08,5.986200233357249e-10,9.875498123469084e-07,0.0020401923357824675,0.8518435574639002,1.0,1.0,1.0,1.0,1.0
