method,Deep Retrieval+FAISS,Search-R1 E5,Deep Retrieval+BM25,ColBERT,BM25,PPO,R-PPO,SAC,FAISS,DDPG
Deep Retrieval+FAISS,1.0,1.0,0.9960315273208078,0.30828993820383976,0.030971443272050814,0.0005287227160959418,5.943001964969774e-05,3.284014807536373e-05,9.606782958582194e-06,2.40032456688688e-06
Search-R1 E5,1.0,1.0,0.9965910719375034,0.31903542326120904,0.032827274967437314,0.0005733472810546258,6.502502345562267e-05,3.60116160148527e-05,1.0580751953037648e-05,2.655993676436985e-06
Deep Retrieval+BM25,0.9960315273208078,0.9965910719375034,1.0,0.8871992273115921,0.32448222163676554,0.019743534266680962,0.0035896618976479777,0.0022311845153609733,0.000821917910470038,0.0002617233096947613
ColBERT,0.30828993820383976,0.31903542326120904,0.8871992273115921,1.0,0.9968454361941931,0.6417255803996875,0.3244822216367673,0.2576759011611386,0.1520460186292878,0.07836835378777951
BM25,0.030971443272050814,0.032827274967437314,0.32448222163676554,0.9968454361941931,1.0,0.988989488236244,0.8871992273115932,0.8329463299177327,0.6915318285473543,0.5125155538873618
PPO,0.0005287227160959418,0.0005733472810546258,0.019743534266680962,0.6417255803996875,0.988989488236244,1.0,0.9999854227814614,0.999899072609132,0.998370197899178,0.9875642743080997
R-PPO,5.943001964969774e-05,6.502502345562267e-05,0.0035896618976479777,0.3244822216367673,0.8871992273115932,0.9999854227814614,1.0,0.9999999999208332,0.9999985893348919,0.999851840503728
SAC,3.284014807536373e-05,3.60116160148527e-05,0.0022311845153609733,0.2576759011611386,0.8329463299177327,0.999899072609132,0.9999999999208332,1.0,0.9999999609540043,0.9999761702158448
FAISS,9.606782958582194e-06,1.0580751953037648e-05,0.000821917910470038,0.1520460186292878,0.6915318285473543,0.998370197899178,0.9999985893348919,0.9999999609540043,1.0,0.9999999245282627
DDPG,2.40032456688688e-06,2.655993676436985e-06,0.0002617233096947613,0.07836835378777951,0.5125155538873618,0.9875642743080997,0.999851840503728,0.9999761702158448,0.9999999245282627,1.0
