method,Deep Retrieval+FAISS,Search-R1 E5,Deep Retrieval+BM25,ColBERT,BM25,PPO,R-PPO,SAC,FAISS,DDPG
Deep Retrieval+FAISS,1.0,0.7093124969378543,0.28693930959610925,0.0005233530179462055,1.1654367353556283e-05,3.031455424705517e-08,3.0912711811779517e-10,1.6052419896654087e-11,1.963295693423681e-10,3.094598726167302e-11
Search-R1 E5,0.7093124969378543,1.0,0.13316126450777283,0.00015363792131985323,9.58663142491114e-07,1.169495110812275e-09,1.2445027832233007e-11,1.152785964395582e-12,3.7012576045372037e-11,9.647635531173439e-14
Deep Retrieval+BM25,0.28693930959610925,0.13316126450777283,1.0,0.019111482034713793,1.82794967665221e-05,1.1840197544553152e-05,1.3245518128974215e-07,4.415093565786966e-09,4.414348407212626e-08,3.5960997167121356e-10
ColBERT,0.0005233530179462055,0.00015363792131985323,0.019111482034713793,1.0,0.12061748036535692,0.005758266446760772,0.0005290294270716541,9.675525805717507e-05,0.000142050174451958,1.2592726134933175e-05
BM25,1.1654367353556283e-05,9.58663142491114e-07,1.82794967665221e-05,0.12061748036535692,1.0,0.26459706614996853,0.06037123522955682,0.020053517635659338,0.019340309796884964,0.005200948200824394
PPO,3.031455424705517e-08,1.169495110812275e-09,1.1840197544553152e-05,0.005758266446760772,0.26459706614996853,1.0,0.2953674087525615,0.14730090122416992,0.20959272496165227,0.03560205233476921
R-PPO,3.0912711811779517e-10,1.2445027832233007e-11,1.3245518128974215e-07,0.0005290294270716541,0.06037123522955682,0.2953674087525615,1.0,0.7934440742202828,0.6284551071833726,0.2110295120834913
SAC,1.6052419896654087e-11,1.152785964395582e-12,4.415093565786966e-09,9.675525805717507e-05,0.020053517635659338,0.14730090122416992,0.7934440742202828,1.0,0.7441596158318272,0.3266061746746919
FAISS,1.963295693423681e-10,3.7012576045372037e-11,4.414348407212626e-08,0.000142050174451958,0.019340309796884964,0.20959272496165227,0.6284551071833726,0.7441596158318272,1.0,0.759348230953541
DDPG,3.094598726167302e-11,9.647635531173439e-14,3.5960997167121356e-10,1.2592726134933175e-05,0.005200948200824394,0.03560205233476921,0.2110295120834913,0.3266061746746919,0.759348230953541,1.0
