method_a,method_b,mean_a,mean_b,t_stat,p_value,significant_p05
Deep Retrieval+FAISS,Search-R1 E5,0.6959839357429719,0.7099254159495123,-0.37342365010664563,0.7093124969378543,False
Deep Retrieval+FAISS,Deep Retrieval+BM25,0.6959839357429719,0.6521084337349398,1.0683141363627762,0.28693930959610925,False
Deep Retrieval+FAISS,ColBERT,0.6959839357429719,0.5607429718875502,3.538226160986409,0.0005233530179462055,True
Deep Retrieval+FAISS,BM25,0.6959839357429719,0.5050200803212852,4.521950110770178,1.1654367353556283e-05,True
Deep Retrieval+FAISS,PPO,0.6959839357429719,0.4576305220883534,5.816944868232921,3.031455424705517e-08,True
Deep Retrieval+FAISS,R-PPO,0.6959839357429719,0.4241967871485943,6.702714876408537,3.0912711811779517e-10,True
Deep Retrieval+FAISS,SAC,0.6959839357429719,0.4167670682730924,7.241516514319301,1.6052419896654087e-11,True
Deep Retrieval+FAISS,FAISS,0.6959839357429719,0.4041164658634538,6.786821244896413,1.963295693423681e-10,True
Deep Retrieval+FAISS,DDPG,0.6959839357429719,0.39166666666666666,7.123735074313847,3.094598726167302e-11,True
Search-R1 E5,Deep Retrieval+BM25,0.7099254159495123,0.6521084337349398,1.509195787471934,0.13316126450777283,False
Search-R1 E5,ColBERT,0.7099254159495123,0.5607429718875502,3.8748669843092007,0.00015363792131985323,True
Search-R1 E5,BM25,0.7099254159495123,0.5050200803212852,5.091895141777967,9.58663142491114e-07,True
Search-R1 E5,PPO,0.7099254159495123,0.4576305220883534,6.452849453957039,1.169495110812275e-09,True
Search-R1 E5,R-PPO,0.7099254159495123,0.4241967871485943,7.286941033626788,1.2445027832233007e-11,True
Search-R1 E5,SAC,0.7099254159495123,0.4167670682730924,7.705340341539506,1.152785964395582e-12,True
Search-R1 E5,FAISS,0.7099254159495123,0.4041164658634538,7.091446662838508,3.7012576045372037e-11,True
Search-R1 E5,DDPG,0.7099254159495123,0.39166666666666666,8.13119947732361,9.647635531173439e-14,True
Deep Retrieval+BM25,ColBERT,0.6521084337349398,0.5607429718875502,2.366614998200106,0.019111482034713793,True
Deep Retrieval+BM25,BM25,0.6521084337349398,0.5050200803212852,4.413941338481732,1.82794967665221e-05,True
Deep Retrieval+BM25,PPO,0.6521084337349398,0.4576305220883534,4.518184815743689,1.1840197544553152e-05,True
Deep Retrieval+BM25,R-PPO,0.6521084337349398,0.4241967871485943,5.514826666236117,1.3245518128974215e-07,True
Deep Retrieval+BM25,SAC,0.6521084337349398,0.4167670682730924,6.19790955236326,4.415093565786966e-09,True
Deep Retrieval+BM25,FAISS,0.6521084337349398,0.4041164658634538,5.740884554741357,4.414348407212626e-08,True
Deep Retrieval+BM25,DDPG,0.6521084337349398,0.39166666666666666,6.674564552931102,3.5960997167121356e-10,True
ColBERT,BM25,0.5607429718875502,0.5050200803212852,1.5602470453772916,0.12061748036535692,False
ColBERT,PPO,0.5607429718875502,0.4576305220883534,2.7977634280142816,0.005758266446760772,True
ColBERT,R-PPO,0.5607429718875502,0.4241967871485943,3.53515890364075,0.0005290294270716541,True
ColBERT,SAC,0.5607429718875502,0.4167670682730924,3.9963994310591504,9.675525805717507e-05,True
ColBERT,FAISS,0.5607429718875502,0.4041164658634538,3.8956714216057966,0.000142050174451958,True
ColBERT,DDPG,0.5607429718875502,0.39166666666666666,4.503497318251238,1.2592726134933175e-05,True
BM25,PPO,0.5050200803212852,0.4576305220883534,1.119398463877904,0.26459706614996853,False
BM25,R-PPO,0.5050200803212852,0.4241967871485943,1.8910427658559783,0.06037123522955682,False
BM25,SAC,0.5050200803212852,0.4167670682730924,2.3481305237237224,0.020053517635659338,True
BM25,FAISS,0.5050200803212852,0.4041164658634538,2.3620523240195523,0.019340309796884964,True
BM25,DDPG,0.5050200803212852,0.39166666666666666,2.832076325518508,0.005200948200824394,True
PPO,R-PPO,0.4576305220883534,0.4241967871485943,1.0497516804650775,0.2953674087525615,False
PPO,SAC,0.4576305220883534,0.4167670682730924,1.4559704776736964,0.14730090122416992,False
PPO,FAISS,0.4576305220883534,0.4041164658634538,1.2595993825732268,0.20959272496165227,False
PPO,DDPG,0.4576305220883534,0.39166666666666666,2.1188267512230725,0.03560205233476921,True
R-PPO,SAC,0.4241967871485943,0.4167670682730924,0.26226527951437356,0.7934440742202828,False
R-PPO,FAISS,0.4241967871485943,0.4041164658634538,0.4848086085284795,0.6284551071833726,False
R-PPO,DDPG,0.4241967871485943,0.39166666666666666,1.2556184760463995,0.2110295120834913,False
SAC,FAISS,0.4167670682730924,0.4041164658634538,0.3268976543092313,0.7441596158318272,False
SAC,DDPG,0.4167670682730924,0.39166666666666666,0.9838980368671523,0.3266061746746919,False
FAISS,DDPG,0.4041164658634538,0.39166666666666666,0.3068450228996663,0.759348230953541,False
