method,Deep Retrieval+FAISS,Search-R1 E5,Deep Retrieval+BM25,ColBERT,BM25,PPO,R-PPO,SAC,FAISS,DDPG
Deep Retrieval+FAISS,0.0,-0.37342365010664563,1.0683141363627762,3.538226160986409,4.521950110770178,5.816944868232921,6.702714876408537,7.241516514319301,6.786821244896413,7.123735074313847
Search-R1 E5,0.37342365010664563,0.0,1.509195787471934,3.8748669843092007,5.091895141777967,6.452849453957039,7.286941033626788,7.705340341539506,7.091446662838508,8.13119947732361
Deep Retrieval+BM25,-1.0683141363627762,-1.509195787471934,0.0,2.366614998200106,4.413941338481732,4.518184815743689,5.514826666236117,6.19790955236326,5.740884554741357,6.674564552931102
ColBERT,-3.538226160986409,-3.8748669843092007,-2.366614998200106,0.0,1.5602470453772916,2.7977634280142816,3.53515890364075,3.9963994310591504,3.8956714216057966,4.503497318251238
BM25,-4.521950110770178,-5.091895141777967,-4.413941338481732,-1.5602470453772916,0.0,1.119398463877904,1.8910427658559783,2.3481305237237224,2.3620523240195523,2.832076325518508
PPO,-5.816944868232921,-6.452849453957039,-4.518184815743689,-2.7977634280142816,-1.119398463877904,0.0,1.0497516804650775,1.4559704776736964,1.2595993825732268,2.1188267512230725
R-PPO,-6.702714876408537,-7.286941033626788,-5.514826666236117,-3.53515890364075,-1.8910427658559783,-1.0497516804650775,0.0,0.26226527951437356,0.4848086085284795,1.2556184760463995
SAC,-7.241516514319301,-7.705340341539506,-6.19790955236326,-3.9963994310591504,-2.3481305237237224,-1.4559704776736964,-0.26226527951437356,0.0,0.3268976543092313,0.9838980368671523
FAISS,-6.786821244896413,-7.091446662838508,-5.740884554741357,-3.8956714216057966,-2.3620523240195523,-1.2595993825732268,-0.4848086085284795,-0.3268976543092313,0.0,0.3068450228996663
DDPG,-7.123735074313847,-8.13119947732361,-6.674564552931102,-4.503497318251238,-2.832076325518508,-2.1188267512230725,-1.2556184760463995,-0.9838980368671523,-0.3068450228996663,0.0
