method,ColBERT,Deep Retrieval+FAISS,SAC,R-PPO,Deep Retrieval+BM25,DDPG,PPO,Search-R1 E5,FAISS,BM25
ColBERT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029485621205907704,0.2736809312822198,4.3512699434167545e-05
Deep Retrieval+FAISS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07804953271690457,0.9201216687665326,0.0005220497468138681
SAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36766136365080176,0.5907937192984918,0.001103926686121747
R-PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3711343743650394,0.9921849496045537,0.0016168192513233465
Deep Retrieval+BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00098863568558725
DDPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8724308498030198,1.0,0.006699677201047644
PPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9716381847289624,0.3106500590516918,0.0033273391083424976
Search-R1 E5,0.029485621205907704,0.07804953271690457,0.36766136365080176,0.3711343743650394,1.0,0.8724308498030198,0.9716381847289624,1.0,1.0,1.0
FAISS,0.2736809312822198,0.9201216687665326,0.5907937192984918,0.9921849496045537,1.0,1.0,0.3106500590516918,1.0,1.0,1.0
BM25,4.3512699434167545e-05,0.0005220497468138681,0.001103926686121747,0.0016168192513233465,0.00098863568558725,0.006699677201047644,0.0033273391083424976,1.0,1.0,1.0
