method,ColBERT,Deep Retrieval+FAISS,SAC,R-PPO,Deep Retrieval+BM25,DDPG,PPO,Search-R1 E5,FAISS,BM25
ColBERT,1.0,0.9978653689568855,0.9908907312531069,0.9705823203711775,0.955378914488135,0.951345949140295,0.9326094600915263,0.1755432811337193,0.15786416760224264,0.0033284827884687562
Deep Retrieval+FAISS,0.9978653689568855,1.0,0.9999999965314598,0.9999979781486339,0.9999886270041171,0.9999840475294177,0.9999457546478567,0.7026581061823185,0.6723528873018294,0.062194521710584594
SAC,0.9908907312531069,0.9999999965314598,1.0,0.999999994635118,0.9999998713966856,0.9999997721655115,0.99999837157679,0.8121396580001108,0.7868693559660118,0.10256044057641456
R-PPO,0.9705823203711775,0.9999979781486339,0.999999994635118,1.0,0.999999999997314,0.9999999999836998,0.9999999978077668,0.8995667368360603,0.8816351390343851,0.16477289046717303
Deep Retrieval+BM25,0.955378914488135,0.9999886270041171,0.9999998713966856,0.999999999997314,1.0,1.0,0.9999999999930765,0.9272448647048177,0.9125918080048098,0.19856940251634358
DDPG,0.951345949140295,0.9999840475294177,0.9999997721655115,0.9999999999836998,1.0,1.0,0.9999999999990683,0.9326094600915263,0.918668131248243,0.20668859721569255
PPO,0.9326094600915263,0.9999457546478567,0.99999837157679,0.9999999978077668,0.9999999999930765,0.9999999999990683,1.0,0.951345949140295,0.9401375736467088,0.2413888022176951
Search-R1 E5,0.1755432811337193,0.7026581061823185,0.8121396580001108,0.8995667368360603,0.9272448647048177,0.9326094600915263,0.951345949140295,1.0,0.9999999999999865,0.9660262992293455
FAISS,0.15786416760224264,0.6723528873018294,0.7868693559660118,0.8816351390343851,0.9125918080048098,0.918668131248243,0.9401375736467088,0.9999999999999865,1.0,0.9733545240908357
BM25,0.0033284827884687562,0.062194521710584594,0.10256044057641456,0.16477289046717303,0.19856940251634358,0.20668859721569255,0.2413888022176951,0.9660262992293455,0.9733545240908357,1.0
