method,ColBERT,Deep Retrieval+FAISS,SAC,R-PPO,Deep Retrieval+BM25,DDPG,PPO,Search-R1 E5,FAISS,BM25
ColBERT,1.0,0.4854265360726624,0.4443178190139597,0.4775527626094731,0.16899206763836724,0.3505155732474591,0.3641695098294142,5.7119963426281305e-05,0.008499276652083361,3.691134144171966e-07
Deep Retrieval+FAISS,0.4854265360726624,1.0,0.8488057109911695,0.9096686156770231,0.4173770397352897,0.6688860952172607,0.7627603903970648,0.00015494880052103013,0.0225907082768709,1.9230561277587133e-06
SAC,0.4443178190139597,0.8488057109911695,1.0,0.9070997806186061,0.6346959302956673,0.7174374679791745,0.8466802971162379,0.000853085672848759,0.012944202477132717,1.0135787577811299e-05
R-PPO,0.4775527626094731,0.9096686156770231,0.9070997806186061,1.0,0.6126931053657375,0.6134565962355389,0.7551230944874394,0.0009325019781640872,0.011836305846790187,9.566269642142437e-06
Deep Retrieval+BM25,0.16899206763836724,0.4173770397352897,0.6346959302956673,0.6126931053657375,1.0,0.8438908004337432,0.7242484705549628,0.006017451840249756,0.10741906671522244,5.5373899030146605e-06
DDPG,0.3505155732474591,0.6688860952172607,0.7174374679791745,0.6134565962355389,0.8438908004337432,1.0,0.8341326940882094,0.004334584014833562,0.01950556711397713,3.743916107961273e-05
PPO,0.3641695098294142,0.7627603903970648,0.8466802971162379,0.7551230944874394,0.7242484705549628,0.8341326940882094,1.0,0.0018430569100010023,0.017110249896653374,2.355115676007678e-05
Search-R1 E5,5.7119963426281305e-05,0.00015494880052103013,0.000853085672848759,0.0009325019781640872,0.006017451840249756,0.004334584014833562,0.0018430569100010023,1.0,0.2912745892344755,0.04821269857830226
FAISS,0.008499276652083361,0.0225907082768709,0.012944202477132717,0.011836305846790187,0.10741906671522244,0.01950556711397713,0.017110249896653374,0.2912745892344755,1.0,0.023262192677456366
BM25,3.691134144171966e-07,1.9230561277587133e-06,1.0135787577811299e-05,9.566269642142437e-06,5.5373899030146605e-06,3.743916107961273e-05,2.355115676007678e-05,0.04821269857830226,0.023262192677456366,1.0
