method,ColBERT,Deep Retrieval+FAISS,SAC,R-PPO,Deep Retrieval+BM25,DDPG,PPO,Search-R1 E5,FAISS,BM25
ColBERT,0.0,0.699147717715474,0.7667305557558615,0.7118374258622229,1.3813948236814222,0.9361970139962453,0.9099177165904923,4.1297614176965975,2.6629456636558264,5.2946073347820155
Deep Retrieval+FAISS,-0.699147717715474,0.0,0.19093672985370722,0.11362768195226076,0.8129854252922266,0.4284310683212433,0.3023485221259759,3.870975056148038,2.301511332674539,4.934337669002562
SAC,-0.7667305557558615,-0.19093672985370722,0.0,-0.1168736480083382,0.47599558348483006,0.3624954063905981,0.1936545852197109,3.396125025265987,2.5121133431645655,4.552501930357953
R-PPO,-0.7118374258622229,-0.11362768195226076,0.1168736480083382,0.0,0.5071807435734524,0.5060904678914245,0.31240115264991913,3.3699981176389957,2.5447472373423072,4.566155934475794
Deep Retrieval+BM25,-1.3813948236814222,-0.8129854252922266,-0.47599558348483006,-0.5071807435734524,0.0,-0.1972238187251162,-0.35337752202210737,2.782174991101557,1.6185542175313024,4.693861937418531
DDPG,-0.9361970139962453,-0.4284310683212433,-0.3624954063905981,-0.5060904678914245,0.1972238187251162,0.0,-0.2097297888244244,2.892012847456531,2.3583711003995385,4.235815722507892
PPO,-0.9099177165904923,-0.3023485221259759,-0.1936545852197109,-0.31240115264991913,0.35337752202210737,0.2097297888244244,0.0,3.1647406064665518,2.408275783273391,4.350036664766014
Search-R1 E5,-4.1297614176965975,-3.870975056148038,-3.396125025265987,-3.3699981176389957,-2.782174991101557,-2.892012847456531,-3.1647406064665518,0.0,-1.0586596365139647,1.9900047702738934
FAISS,-2.6629456636558264,-2.301511332674539,-2.5121133431645655,-2.5447472373423072,-1.6185542175313024,-2.3583711003995385,-2.408275783273391,1.0586596365139647,0.0,2.2900469473587455
BM25,-5.2946073347820155,-4.934337669002562,-4.552501930357953,-4.566155934475794,-4.693861937418531,-4.235815722507892,-4.350036664766014,-1.9900047702738934,-2.2900469473587455,0.0
